epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0679,4.00463,3.70768,3.27933,0.01603,0.00656,0.00126,0.00041,4.04714,3.90901,3.36402,0.00330247,0.00330247,0.0702778
2,71.5268,2.82041,2.17405,1.73902,0.31567,0.14494,0.15109,0.05628,2.43972,1.79087,1.43687,0.0066139,0.0066139,0.0402559
3,107.376,2.30317,1.57751,1.30874,0.27972,0.36579,0.26628,0.1002,2.21133,1.4635,1.22631,0.00990334,0.00990334,0.010212
4,143.037,1.94528,1.24736,1.14217,0.5119,0.48568,0.44711,0.21824,1.78459,1.08587,1.08693,0.009901,0.009901,0.009901
5,178.354,1.71739,1.05518,1.06088,0.38661,0.52048,0.44027,0.21339,1.63554,1.08934,1.0446,0.009868,0.009868,0.009868
6,202.994,1.59699,0.95333,1.01679,0.68663,0.60415,0.62692,0.35771,1.39604,0.85476,0.96802,0.009835,0.009835,0.009835
7,224.715,1.51564,0.88573,0.99004,0.69426,0.61787,0.63925,0.33658,1.50209,0.81883,0.98255,0.009802,0.009802,0.009802
8,246.762,1.45877,0.84024,0.97071,0.71664,0.63947,0.67833,0.38691,1.3405,0.78374,0.94146,0.009769,0.009769,0.009769
9,268.436,1.41505,0.80362,0.96104,0.75825,0.67131,0.71437,0.40945,1.32665,0.72097,0.92966,0.009736,0.009736,0.009736
10,290.397,1.37674,0.7753,0.94681,0.74038,0.66043,0.69381,0.40754,1.25575,0.72211,0.92169,0.009703,0.009703,0.009703
11,311.882,1.34365,0.748,0.93665,0.77707,0.70329,0.74525,0.46228,1.19524,0.66344,0.90741,0.00967,0.00967,0.00967
12,333.92,1.32151,0.7319,0.93152,0.7638,0.67153,0.72437,0.43328,1.21466,0.67913,0.91651,0.009637,0.009637,0.009637
13,355.839,1.29583,0.71884,0.92745,0.77052,0.68211,0.73305,0.456,1.16057,0.66238,0.89764,0.009604,0.009604,0.009604
14,377.266,1.28183,0.70153,0.92094,0.78555,0.70184,0.7535,0.46806,1.15899,0.65105,0.89533,0.009571,0.009571,0.009571
15,399.931,1.26646,0.69231,0.91646,0.78321,0.71161,0.76686,0.48131,1.13548,0.6363,0.88986,0.009538,0.009538,0.009538
