epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6929,3.94086,3.61629,3.21978,0.00981,0.01163,0.00158,0.0004,3.76503,3.86658,3.24416,0.00330247,0.00330247,0.0702778
2,52.6576,2.90005,2.24319,1.67169,0.29303,0.15239,0.11018,0.04394,2.25722,1.71977,1.44561,0.00663562,0.00663562,0.0402776
3,75.2984,2.35409,1.59887,1.30617,0.38035,0.31434,0.26107,0.0975,2.08498,1.3931,1.20786,0.00996805,0.00996805,0.0102767
4,98.0685,1.96271,1.25456,1.14742,0.48351,0.46592,0.42869,0.17895,1.70761,1.21272,1.10055,0.00999756,0.00999756,0.00999756
5,119.93,1.71938,1.06271,1.06847,0.62704,0.5798,0.58015,0.3068,1.48435,0.90974,1.01198,0.00999566,0.00999566,0.00999566
6,141.884,1.58966,0.95731,1.02336,0.71701,0.5803,0.62472,0.34024,1.38227,0.85512,0.97452,0.00999322,0.00999322,0.00999322
7,163.764,1.5005,0.89065,0.99662,0.67764,0.6357,0.63601,0.33998,1.44862,0.84641,0.97819,0.00999023,0.00999023,0.00999023
8,185.98,1.44496,0.84717,0.97597,0.68143,0.66771,0.67248,0.37005,1.3285,0.77796,0.9532,0.00998671,0.00998671,0.00998671
9,207.558,1.38888,0.81091,0.96681,0.76776,0.66047,0.71133,0.40107,1.30012,0.73148,0.93515,0.00998264,0.00998264,0.00998264
10,229.78,1.35133,0.78266,0.9524,0.68545,0.71454,0.72047,0.42138,1.21283,0.70161,0.92455,0.00997803,0.00997803,0.00997803
11,251.93,1.31069,0.75527,0.94064,0.77269,0.69793,0.73997,0.44298,1.15808,0.67925,0.90801,0.00997288,0.00997288,0.00997288
12,274.153,1.28539,0.73953,0.93613,0.76949,0.70033,0.74722,0.46038,1.10532,0.67128,0.90426,0.0099672,0.0099672,0.0099672
13,296.392,1.26082,0.72549,0.9321,0.78732,0.70618,0.75609,0.46477,1.10138,0.64269,0.8989,0.00996097,0.00996097,0.00996097
14,318.177,1.23989,0.70778,0.92385,0.78091,0.72071,0.76098,0.4742,1.10009,0.63294,0.8965,0.0099542,0.0099542,0.0099542
15,340.539,1.22888,0.70032,0.92044,0.79609,0.71687,0.77248,0.4783,1.08595,0.62972,0.89448,0.0099469,0.0099469,0.0099469
16,362.556,1.20792,0.68695,0.91545,0.75337,0.75009,0.7783,0.49008,1.06411,0.62142,0.88935,0.00993906,0.00993906,0.00993906
17,384.447,1.20042,0.67874,0.91043,0.81048,0.72427,0.77957,0.48866,1.06293,0.62433,0.88585,0.00993068,0.00993068,0.00993068
18,407.016,1.18371,0.67233,0.90736,0.81206,0.73274,0.7853,0.50176,1.03769,0.60474,0.88451,0.00992177,0.00992177,0.00992177
19,429.419,1.17567,0.66261,0.90505,0.81614,0.73039,0.78949,0.50446,1.03776,0.5978,0.87983,0.00991232,0.00991232,0.00991232
