epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1976,4.24803,4.13156,3.66193,0,0,0,0,4.41579,3.9213,3.53928,0.00329218,0.00329218,0.0703704
2,68.1992,2.94611,2.42826,1.88445,0.24244,0.11031,0.08238,0.03259,2.61716,1.89967,1.5504,0.00662533,0.00662533,0.0403702
3,87.7294,2.46096,1.76451,1.39209,0.32908,0.23937,0.19381,0.07707,2.36031,1.64193,1.32696,0.00995777,0.00995777,0.0103693
4,107.407,2.07882,1.39588,1.19764,0.23422,0.32843,0.22343,0.07246,2.35174,1.4969,1.2497,0.00999756,0.00999756,0.00999756
5,126.754,1.83413,1.17115,1.10758,0.50074,0.50992,0.48553,0.24303,1.66709,1.00803,1.04441,0.00999566,0.00999566,0.00999566
6,145.901,1.70546,1.04986,1.0592,0.61297,0.54881,0.55165,0.29341,1.54095,0.93214,0.99949,0.00999322,0.00999322,0.00999322
7,164.934,1.61687,0.9722,1.02552,0.64403,0.60933,0.60485,0.32355,1.44694,0.84898,0.98407,0.00999023,0.00999023,0.00999023
8,183.561,1.55207,0.91647,1.00246,0.69946,0.61951,0.64922,0.3675,1.42558,0.80111,0.96078,0.00998671,0.00998671,0.00998671
9,201.856,1.50692,0.876,0.98954,0.71831,0.62108,0.65547,0.36499,1.34486,0.78373,0.95423,0.00998264,0.00998264,0.00998264
10,220.971,1.46314,0.8407,0.97471,0.74085,0.64386,0.68407,0.40383,1.28909,0.74592,0.9349,0.00997803,0.00997803,0.00997803
11,239.425,1.42766,0.81394,0.96495,0.74526,0.68522,0.71592,0.42493,1.2414,0.70471,0.92018,0.00997288,0.00997288,0.00997288
12,258.085,1.4058,0.79487,0.95746,0.73984,0.67549,0.70735,0.42723,1.23438,0.69809,0.92213,0.0099672,0.0099672,0.0099672
13,276.992,1.37987,0.77745,0.949,0.72342,0.68412,0.7095,0.4263,1.24872,0.70346,0.92089,0.00996097,0.00996097,0.00996097
14,295.523,1.36152,0.76103,0.94374,0.756,0.69966,0.73667,0.44779,1.20915,0.67848,0.90973,0.0099542,0.0099542,0.0099542
15,314.473,1.34651,0.74835,0.93776,0.76158,0.69524,0.74054,0.4536,1.18467,0.66689,0.90508,0.0099469,0.0099469,0.0099469
16,332.891,1.3222,0.73331,0.93174,0.76373,0.70234,0.74908,0.46106,1.16971,0.65455,0.90299,0.00993906,0.00993906,0.00993906
17,351.347,1.31422,0.72396,0.92827,0.77978,0.70969,0.75803,0.47435,1.16024,0.63875,0.8969,0.00993068,0.00993068,0.00993068
18,369.371,1.29125,0.71206,0.92489,0.79709,0.71247,0.76668,0.48254,1.14144,0.62387,0.89005,0.00992177,0.00992177,0.00992177
19,387.875,1.28284,0.70393,0.91898,0.76983,0.71798,0.75568,0.47435,1.14952,0.63764,0.89283,0.00991232,0.00991232,0.00991232
20,405.777,1.27513,0.69739,0.91833,0.76561,0.72608,0.76835,0.48342,1.12283,0.61854,0.88677,0.00990234,0.00990234,0.00990234
21,423.94,1.26406,0.6892,0.91516,0.79464,0.71406,0.7687,0.48498,1.1184,0.6171,0.88656,0.00989183,0.00989183,0.00989183
22,442.528,1.25644,0.68234,0.91052,0.79424,0.72823,0.7762,0.49277,1.11261,0.61069,0.88453,0.00988079,0.00988079,0.00988079
23,460.849,1.24781,0.67721,0.90955,0.79519,0.72854,0.77971,0.49591,1.10033,0.60241,0.88106,0.00986922,0.00986922,0.00986922
24,479.293,1.23961,0.67295,0.90639,0.81102,0.71889,0.77827,0.49569,1.10645,0.60428,0.88068,0.00985711,0.00985711,0.00985711
25,497.684,1.22578,0.66706,0.90647,0.79834,0.72986,0.78669,0.50508,1.08835,0.59774,0.87894,0.00984449,0.00984449,0.00984449
26,516.094,1.22365,0.66188,0.90274,0.7964,0.7357,0.77938,0.50338,1.0932,0.59424,0.87818,0.00983133,0.00983133,0.00983133
27,534.411,1.21648,0.65656,0.90187,0.80762,0.73651,0.78948,0.50959,1.08256,0.58588,0.87636,0.00981765,0.00981765,0.00981765
