epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1769,4.05466,3.85728,3.41279,0.00389,0.01642,0.00187,0.00059,3.90142,3.72451,3.2795,0.00330247,0.00330247,0.0702778
2,53.9742,2.82633,2.26781,1.77988,0.26966,0.13671,0.08884,0.03646,2.56916,2.13593,1.46123,0.0066139,0.0066139,0.0402559
3,78.1734,2.31167,1.59821,1.3173,0.09267,0.08679,0.04127,0.00919,3.52385,2.1941,1.66926,0.00990334,0.00990334,0.010212
4,101.247,1.94958,1.2495,1.14659,0.50741,0.49811,0.44603,0.21237,1.83291,1.0891,1.08225,0.009901,0.009901,0.009901
5,124.64,1.72198,1.05091,1.06572,0.62428,0.56346,0.55867,0.29833,1.50778,0.92897,1.00971,0.009868,0.009868,0.009868
6,146.946,1.59685,0.94327,1.0197,0.71103,0.5965,0.63875,0.34737,1.41792,0.82193,0.96888,0.009835,0.009835,0.009835
7,169.647,1.51601,0.87819,0.99249,0.74131,0.61981,0.67052,0.37771,1.35683,0.7831,0.95563,0.009802,0.009802,0.009802
8,191.954,1.46441,0.83502,0.97301,0.72776,0.65685,0.68803,0.3889,1.35409,0.76737,0.9445,0.009769,0.009769,0.009769
9,213.816,1.41946,0.80065,0.96364,0.76059,0.66118,0.71624,0.42478,1.27729,0.70989,0.92773,0.009736,0.009736,0.009736
10,236.369,1.38489,0.77295,0.94926,0.76704,0.67854,0.7265,0.4276,1.23875,0.69731,0.92294,0.009703,0.009703,0.009703
11,258.659,1.35069,0.74714,0.939,0.79025,0.68897,0.73963,0.45287,1.19816,0.66938,0.90864,0.00967,0.00967,0.00967
12,281.633,1.32818,0.73103,0.93368,0.77093,0.68994,0.73474,0.44751,1.20238,0.66128,0.91064,0.009637,0.009637,0.009637
13,304.327,1.30163,0.71795,0.92899,0.77578,0.68831,0.73683,0.45357,1.17968,0.65837,0.90217,0.009604,0.009604,0.009604
14,326.44,1.28623,0.70168,0.9222,0.78888,0.71163,0.76483,0.47714,1.15088,0.63342,0.89339,0.009571,0.009571,0.009571
15,349.412,1.27304,0.69203,0.91784,0.7939,0.71722,0.76449,0.4823,1.1356,0.62736,0.89202,0.009538,0.009538,0.009538
