epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2211,4.22554,4.08843,3.57631,0,0,0,0,4.45595,3.93988,3.46661,0.00329218,0.00329218,0.0703704
2,46.5979,3.00248,2.43099,1.81282,0.36071,0.05887,0.03715,0.01208,2.78403,2.37133,1.75172,0.00662533,0.00662533,0.0403702
3,65.3539,2.50218,1.72938,1.36556,0.19984,0.24282,0.16433,0.05374,2.42153,1.76141,1.37782,0.00995777,0.00995777,0.0103693
4,84.1932,2.06856,1.35905,1.18562,0.44163,0.417,0.36448,0.15047,1.78185,1.2583,1.11845,0.00999756,0.00999756,0.00999756
5,102.611,1.81444,1.14542,1.09938,0.55921,0.54172,0.51739,0.25513,1.52416,0.98872,1.03708,0.00999566,0.00999566,0.00999566
6,120.633,1.67741,1.03828,1.0541,0.64851,0.58745,0.60208,0.31963,1.45525,0.9126,1.00196,0.00999322,0.00999322,0.00999322
7,138.603,1.58635,0.96127,1.0208,0.70642,0.60714,0.63133,0.34072,1.3918,0.82862,0.97496,0.00999023,0.00999023,0.00999023
8,156.495,1.51751,0.90887,0.99797,0.58996,0.62107,0.61069,0.33729,1.3646,0.83959,0.96886,0.00998671,0.00998671,0.00998671
9,174.785,1.46817,0.8689,0.98572,0.73884,0.65012,0.68785,0.39329,1.27908,0.76737,0.94302,0.00998264,0.00998264,0.00998264
10,193.295,1.42349,0.83706,0.97134,0.75174,0.64601,0.6986,0.40146,1.23796,0.75067,0.9335,0.00997803,0.00997803,0.00997803
11,211.619,1.3873,0.81198,0.96179,0.73498,0.68206,0.70944,0.4153,1.22675,0.73092,0.92757,0.00997288,0.00997288,0.00997288
12,229.695,1.36525,0.79282,0.95605,0.75356,0.67607,0.72062,0.43044,1.17589,0.70567,0.92135,0.0099672,0.0099672,0.0099672
13,247.716,1.33791,0.7761,0.94754,0.75809,0.68858,0.73348,0.43594,1.1754,0.69409,0.91929,0.00996097,0.00996097,0.00996097
14,265.698,1.31707,0.76097,0.94323,0.7457,0.70338,0.74276,0.44612,1.14505,0.68954,0.90737,0.0099542,0.0099542,0.0099542
15,283.825,1.30277,0.75006,0.93689,0.77647,0.70501,0.7543,0.45818,1.12013,0.66501,0.90517,0.0099469,0.0099469,0.0099469
16,302.054,1.2772,0.7346,0.93065,0.76437,0.71022,0.75106,0.4535,1.14966,0.6792,0.91055,0.00993906,0.00993906,0.00993906
17,319.973,1.27145,0.72638,0.92813,0.78587,0.71234,0.77012,0.47702,1.08772,0.6368,0.89763,0.00993068,0.00993068,0.00993068
18,338.633,1.24482,0.71463,0.92505,0.80145,0.7126,0.77168,0.48431,1.08432,0.63435,0.89372,0.00992177,0.00992177,0.00992177
19,357.041,1.23624,0.7067,0.91907,0.7929,0.71472,0.767,0.47709,1.09829,0.64609,0.89959,0.00991232,0.00991232,0.00991232
20,375.038,1.22674,0.70016,0.91774,0.79662,0.72678,0.77906,0.48733,1.07847,0.62648,0.8936,0.00990234,0.00990234,0.00990234
21,393.119,1.21422,0.69195,0.91525,0.79704,0.73024,0.78156,0.49096,1.05426,0.62035,0.88692,0.00989183,0.00989183,0.00989183
22,411.189,1.2079,0.68547,0.91078,0.8033,0.72794,0.78084,0.49339,1.06056,0.61883,0.88743,0.00988079,0.00988079,0.00988079
23,429.364,1.19852,0.68022,0.90979,0.79175,0.73565,0.78687,0.49851,1.05249,0.61629,0.88623,0.00986922,0.00986922,0.00986922
24,447.233,1.19064,0.67708,0.90654,0.81203,0.72772,0.79103,0.50334,1.03462,0.60721,0.88099,0.00985711,0.00985711,0.00985711
25,465.076,1.17625,0.67178,0.90698,0.81255,0.72708,0.79286,0.50526,1.0398,0.60853,0.88046,0.00984449,0.00984449,0.00984449
26,482.858,1.17314,0.66621,0.90336,0.81066,0.74042,0.79877,0.5101,1.02843,0.59453,0.87963,0.00983133,0.00983133,0.00983133
27,501.188,1.16583,0.66059,0.90174,0.81624,0.73367,0.79456,0.51332,1.03911,0.60166,0.87726,0.00981765,0.00981765,0.00981765
28,519.597,1.15889,0.65573,0.89962,0.80745,0.73988,0.79152,0.50333,1.0407,0.6015,0.88058,0.00980345,0.00980345,0.00980345
29,538.02,1.15732,0.65501,0.89925,0.81468,0.74845,0.80393,0.51886,1.00805,0.59081,0.87424,0.00978873,0.00978873,0.00978873
30,556.094,1.14341,0.64727,0.89987,0.81359,0.74905,0.80468,0.51719,1.00479,0.58457,0.87384,0.00977349,0.00977349,0.00977349
31,574.301,1.14693,0.64632,0.89722,0.80944,0.75252,0.80321,0.51783,1.00132,0.58809,0.87352,0.00975773,0.00975773,0.00975773
32,592.165,1.13597,0.64354,0.89484,0.81637,0.74452,0.80278,0.52241,0.99354,0.58396,0.8713,0.00974145,0.00974145,0.00974145
33,610.011,1.13236,0.63727,0.89511,0.81938,0.75198,0.80285,0.52126,0.98908,0.57751,0.87075,0.00972466,0.00972466,0.00972466
34,627.884,1.12581,0.63611,0.89337,0.82064,0.74522,0.80563,0.52436,0.98635,0.57931,0.86798,0.00970736,0.00970736,0.00970736
35,646.25,1.11946,0.6313,0.89141,0.81973,0.76224,0.80958,0.52372,0.98584,0.57182,0.86839,0.00968955,0.00968955,0.00968955
36,664.655,1.11568,0.62878,0.89083,0.82246,0.74818,0.81008,0.52749,0.98312,0.57149,0.86816,0.00967122,0.00967122,0.00967122
37,683.203,1.12032,0.6295,0.88903,0.82737,0.75765,0.81434,0.53322,0.97898,0.56599,0.86658,0.00965239,0.00965239,0.00965239
38,701.62,1.11016,0.62575,0.88813,0.83453,0.75987,0.82071,0.54015,0.96272,0.56017,0.86437,0.00963306,0.00963306,0.00963306
39,719.855,1.10765,0.62258,0.88736,0.82215,0.75973,0.81363,0.53545,0.97605,0.56375,0.86584,0.00961322,0.00961322,0.00961322
40,737.686,1.10749,0.6199,0.88744,0.8225,0.76385,0.81731,0.53771,0.96906,0.56279,0.86376,0.00959289,0.00959289,0.00959289
41,755.481,1.09861,0.61731,0.88705,0.83143,0.7652,0.81951,0.53932,0.96576,0.55588,0.86455,0.00957205,0.00957205,0.00957205
42,773.354,1.10354,0.61704,0.88463,0.83227,0.75623,0.81946,0.54171,0.9672,0.56279,0.86219,0.00955072,0.00955072,0.00955072
43,791.682,1.09548,0.61473,0.88461,0.83229,0.76475,0.82252,0.54368,0.95532,0.5517,0.86144,0.00952889,0.00952889,0.00952889
44,809.653,1.08973,0.61062,0.88433,0.83108,0.76645,0.82051,0.54064,0.97088,0.55367,0.86357,0.00950658,0.00950658,0.00950658
45,827.852,1.08636,0.61,0.8842,0.83678,0.76589,0.824,0.54322,0.95945,0.55062,0.86065,0.00948377,0.00948377,0.00948377
46,846.461,1.08301,0.60471,0.88086,0.81908,0.77143,0.82019,0.5416,0.95905,0.55524,0.86255,0.00946048,0.00946048,0.00946048
47,864.985,1.08156,0.60378,0.88313,0.83929,0.77041,0.82901,0.55033,0.94207,0.54226,0.85822,0.00943671,0.00943671,0.00943671
48,883.776,1.0766,0.60109,0.88106,0.83661,0.77135,0.82819,0.547,0.95656,0.54628,0.85895,0.00941245,0.00941245,0.00941245
49,901.879,1.07752,0.60266,0.88108,0.83449,0.77391,0.83006,0.55377,0.94342,0.54336,0.85816,0.00938772,0.00938772,0.00938772
50,919.627,1.07468,0.60106,0.87867,0.83946,0.7667,0.82873,0.5488,0.95317,0.54462,0.85827,0.00936251,0.00936251,0.00936251
51,937.767,1.07157,0.59891,0.87872,0.83188,0.77677,0.83076,0.5521,0.95156,0.54373,0.85836,0.00933683,0.00933683,0.00933683
52,955.88,1.06808,0.59575,0.87685,0.84242,0.77724,0.83097,0.55087,0.94992,0.53965,0.85757,0.00931067,0.00931067,0.00931067
53,974.043,1.05742,0.59562,0.87928,0.83464,0.77008,0.82504,0.54446,0.96056,0.54593,0.8603,0.00928405,0.00928405,0.00928405
54,991.98,1.06453,0.59248,0.87586,0.84098,0.77205,0.83098,0.55434,0.93975,0.53816,0.85528,0.00925697,0.00925697,0.00925697
55,1010.55,1.06251,0.59551,0.87641,0.83606,0.77953,0.83233,0.55703,0.93258,0.53489,0.85424,0.00922942,0.00922942,0.00922942
56,1028.62,1.05608,0.59007,0.87692,0.83581,0.77857,0.83503,0.558,0.94065,0.53199,0.85448,0.00920142,0.00920142,0.00920142
57,1046.39,1.05806,0.58965,0.8737,0.83965,0.77894,0.83445,0.55662,0.93446,0.53159,0.85511,0.00917296,0.00917296,0.00917296
58,1064.19,1.05433,0.58861,0.87544,0.83911,0.7782,0.8338,0.5594,0.93486,0.53413,0.85373,0.00914405,0.00914405,0.00914405
59,1082.12,1.05599,0.58852,0.87475,0.83842,0.77739,0.83337,0.55694,0.92975,0.53108,0.85499,0.00911469,0.00911469,0.00911469
60,1100.11,1.05266,0.58728,0.87566,0.83632,0.78173,0.8351,0.55733,0.92777,0.5303,0.85392,0.00908488,0.00908488,0.00908488
61,1118.03,1.04627,0.5848,0.87434,0.83652,0.78306,0.83565,0.5621,0.92954,0.53026,0.8538,0.00905463,0.00905463,0.00905463
62,1136.1,1.04284,0.58123,0.87399,0.84212,0.78136,0.83781,0.56277,0.92386,0.52479,0.85232,0.00902395,0.00902395,0.00902395
63,1153.96,1.04356,0.58313,0.87264,0.83571,0.78363,0.83717,0.56158,0.92745,0.52709,0.85219,0.00899282,0.00899282,0.00899282
64,1171.54,1.04034,0.57981,0.87093,0.84141,0.78763,0.83959,0.56505,0.9184,0.52294,0.85159,0.00896127,0.00896127,0.00896127
65,1189.53,1.03965,0.58305,0.87498,0.83566,0.78711,0.83876,0.56429,0.91983,0.5225,0.85082,0.00892928,0.00892928,0.00892928
66,1207.4,1.04187,0.58065,0.8729,0.83662,0.78911,0.83902,0.56531,0.9174,0.52092,0.85104,0.00889687,0.00889687,0.00889687
67,1225.01,1.03538,0.57621,0.87033,0.83564,0.78585,0.8368,0.56271,0.92349,0.52722,0.85217,0.00886404,0.00886404,0.00886404
68,1242.34,1.03445,0.5757,0.87144,0.84308,0.78211,0.84127,0.568,0.91667,0.52005,0.84998,0.00883079,0.00883079,0.00883079
69,1260.01,1.03354,0.57632,0.86972,0.83817,0.79128,0.84086,0.56522,0.91893,0.52039,0.85061,0.00879713,0.00879713,0.00879713
70,1277.26,1.03346,0.57765,0.87252,0.83897,0.78925,0.84135,0.56854,0.92008,0.52087,0.85004,0.00876305,0.00876305,0.00876305
