epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3185,4.27299,3.97788,3.54436,0,0,0,0,4.43958,3.94313,3.54901,0.00329167,0.00329167,0.070375
2,55.6656,3.07886,2.45869,1.84313,0.21891,0.11278,0.05728,0.02275,2.43799,2.16158,1.6078,0.00662482,0.00662482,0.0403748
3,79.4508,2.48833,1.74439,1.36521,0.20294,0.27566,0.18275,0.06388,2.11426,1.54468,1.28816,0.00995725,0.00995725,0.0103739
4,104.608,2.0558,1.35193,1.18492,0.34373,0.3721,0.30918,0.13081,1.83973,1.34035,1.14893,0.00999756,0.00999756,0.00999756
5,128.082,1.8118,1.14921,1.10164,0.56403,0.52499,0.51531,0.25064,1.61178,1.008,1.0571,0.00999566,0.00999566,0.00999566
6,149.308,1.68388,1.03584,1.05019,0.65317,0.58403,0.59274,0.29544,1.49283,0.89494,1.00984,0.00999322,0.00999322,0.00999322
7,167.022,1.59658,0.96438,1.02183,0.6655,0.6027,0.62207,0.33013,1.42955,0.87331,0.99016,0.00999023,0.00999023,0.00999023
8,185.066,1.52417,0.90831,1.00317,0.69971,0.61757,0.65117,0.35569,1.33348,0.81657,0.96306,0.00998671,0.00998671,0.00998671
9,203.254,1.46943,0.8691,0.98989,0.74281,0.63803,0.68143,0.38352,1.29821,0.76729,0.96711,0.00998264,0.00998264,0.00998264
10,221.519,1.42873,0.83421,0.97058,0.7577,0.65756,0.70377,0.41087,1.2634,0.74659,0.93864,0.00997803,0.00997803,0.00997803
11,239.53,1.38498,0.80777,0.96108,0.76502,0.65608,0.71361,0.40971,1.26016,0.73133,0.93884,0.00997288,0.00997288,0.00997288
12,257.324,1.35908,0.78952,0.95425,0.74582,0.67811,0.7197,0.42752,1.18136,0.7176,0.92206,0.0099672,0.0099672,0.0099672
13,275.008,1.33263,0.77497,0.94889,0.75967,0.69324,0.73083,0.44272,1.16269,0.7066,0.91893,0.00996097,0.00996097,0.00996097
14,292.997,1.30911,0.75509,0.94123,0.76963,0.70405,0.75033,0.45789,1.15197,0.67608,0.91097,0.0099542,0.0099542,0.0099542
15,310.702,1.2963,0.74651,0.93649,0.77031,0.70809,0.75257,0.45318,1.14352,0.66948,0.90526,0.0099469,0.0099469,0.0099469
16,328.284,1.2757,0.73466,0.93267,0.77527,0.70813,0.74966,0.45944,1.17233,0.66413,0.90625,0.00993906,0.00993906,0.00993906
17,346.215,1.26307,0.72234,0.92582,0.79748,0.71241,0.77056,0.48309,1.0867,0.6416,0.89746,0.00993068,0.00993068,0.00993068
18,364.431,1.24667,0.71554,0.92502,0.7908,0.71444,0.76846,0.47894,1.10187,0.64113,0.89491,0.00992177,0.00992177,0.00992177
19,382.371,1.2389,0.7073,0.91834,0.78543,0.72439,0.77271,0.48146,1.10172,0.63864,0.89622,0.00991232,0.00991232,0.00991232
20,399.891,1.22177,0.69804,0.91754,0.80226,0.72714,0.7814,0.4868,1.09019,0.62561,0.89412,0.00990234,0.00990234,0.00990234
21,417.352,1.21349,0.68937,0.91497,0.80034,0.72401,0.77743,0.49206,1.07472,0.622,0.89073,0.00989183,0.00989183,0.00989183
22,434.995,1.20941,0.68476,0.9136,0.80213,0.72758,0.7852,0.49499,1.06441,0.61819,0.88756,0.00988079,0.00988079,0.00988079
23,452.636,1.20634,0.6828,0.90966,0.80463,0.72993,0.79041,0.50344,1.04587,0.61182,0.88225,0.00986922,0.00986922,0.00986922
24,470.257,1.18419,0.67446,0.90714,0.80979,0.73393,0.79174,0.50369,1.04081,0.60543,0.88312,0.00985711,0.00985711,0.00985711
25,487.807,1.17825,0.6686,0.90753,0.81034,0.72654,0.79279,0.50797,1.02909,0.61145,0.88189,0.00984449,0.00984449,0.00984449
26,505.923,1.17507,0.66482,0.90652,0.81429,0.7368,0.79572,0.51039,1.03674,0.59808,0.87841,0.00983133,0.00983133,0.00983133
27,524.071,1.16042,0.65802,0.90151,0.80352,0.73965,0.79251,0.50711,1.04518,0.60049,0.88038,0.00981765,0.00981765,0.00981765
28,541.754,1.15529,0.65512,0.90013,0.80702,0.7457,0.7997,0.51069,1.03309,0.59417,0.8773,0.00980345,0.00980345,0.00980345
29,559.49,1.1592,0.65258,0.9003,0.80837,0.74223,0.80102,0.51086,1.03353,0.59025,0.87524,0.00978873,0.00978873,0.00978873
30,576.56,1.1426,0.64858,0.89794,0.81289,0.74895,0.80386,0.52093,1.01197,0.57898,0.87255,0.00977349,0.00977349,0.00977349
31,594.042,1.139,0.64324,0.89808,0.8273,0.73803,0.79921,0.51998,1.00121,0.58462,0.87275,0.00975773,0.00975773,0.00975773
32,611.351,1.1413,0.64179,0.89588,0.81996,0.75858,0.81385,0.53163,1.00007,0.57442,0.87088,0.00974145,0.00974145,0.00974145
33,628.796,1.13078,0.64024,0.89595,0.82923,0.73743,0.80468,0.52298,1.00569,0.58369,0.86994,0.00972466,0.00972466,0.00972466
34,646.436,1.11873,0.63324,0.89358,0.82219,0.75047,0.80619,0.52566,1.00306,0.5767,0.87148,0.00970736,0.00970736,0.00970736
35,664.414,1.11946,0.63028,0.89066,0.83314,0.75172,0.81203,0.52859,1.00492,0.57054,0.8686,0.00968955,0.00968955,0.00968955
36,682.426,1.12076,0.63248,0.89234,0.81791,0.7524,0.81006,0.52776,0.99152,0.57531,0.86851,0.00967122,0.00967122,0.00967122
37,700.244,1.11408,0.62607,0.88817,0.82522,0.7463,0.81298,0.52634,1.00436,0.5744,0.86973,0.00965239,0.00965239,0.00965239
38,717.68,1.10609,0.62077,0.88841,0.82756,0.75617,0.81605,0.53527,0.98596,0.56364,0.86593,0.00963306,0.00963306,0.00963306
39,735.316,1.10877,0.62123,0.88633,0.82378,0.75233,0.80954,0.53178,0.99152,0.57103,0.86977,0.00961322,0.00961322,0.00961322
40,752.901,1.10316,0.62087,0.88848,0.81942,0.75974,0.81579,0.53273,0.98516,0.56597,0.86687,0.00959289,0.00959289,0.00959289
41,770.25,1.09753,0.61674,0.88599,0.82957,0.76053,0.81879,0.54014,0.97006,0.55813,0.86396,0.00957205,0.00957205,0.00957205
42,787.591,1.09393,0.61379,0.88338,0.83486,0.75899,0.82157,0.53883,0.98509,0.55927,0.86335,0.00955072,0.00955072,0.00955072
43,805.056,1.09616,0.61511,0.88653,0.81774,0.77044,0.8217,0.53836,0.98383,0.55746,0.86559,0.00952889,0.00952889,0.00952889
44,822.944,1.0909,0.61121,0.88353,0.83364,0.76318,0.82216,0.54584,0.96548,0.55382,0.86172,0.00950658,0.00950658,0.00950658
45,840.782,1.08883,0.61078,0.88296,0.8336,0.75755,0.82036,0.54031,0.97739,0.55908,0.86175,0.00948377,0.00948377,0.00948377
46,858.492,1.08069,0.60643,0.88253,0.83823,0.75822,0.82143,0.54274,0.97376,0.55753,0.86118,0.00946048,0.00946048,0.00946048
47,876.111,1.07574,0.6048,0.8818,0.82884,0.76364,0.82177,0.53856,0.98636,0.55702,0.86395,0.00943671,0.00943671,0.00943671
48,893.608,1.07509,0.6035,0.88047,0.83333,0.76601,0.82368,0.54719,0.9613,0.55044,0.86075,0.00941245,0.00941245,0.00941245
49,911.22,1.07426,0.60052,0.88034,0.8372,0.75816,0.82065,0.54541,0.96079,0.55203,0.85888,0.00938772,0.00938772,0.00938772
50,928.612,1.07398,0.60029,0.87845,0.83706,0.77094,0.8283,0.5483,0.96148,0.54416,0.85782,0.00936251,0.00936251,0.00936251
51,946.041,1.07005,0.59723,0.87765,0.84075,0.76751,0.82928,0.55005,0.95564,0.53979,0.85786,0.00933683,0.00933683,0.00933683
52,963.36,1.06593,0.59738,0.8787,0.83246,0.77256,0.82831,0.55037,0.95197,0.54224,0.85706,0.00931067,0.00931067,0.00931067
53,981.439,1.06315,0.59685,0.87858,0.83469,0.76534,0.8269,0.55102,0.95676,0.54518,0.85866,0.00928405,0.00928405,0.00928405
54,999.351,1.06244,0.59447,0.87824,0.83865,0.76971,0.83046,0.55572,0.94657,0.53904,0.8566,0.00925697,0.00925697,0.00925697
55,1017.22,1.05984,0.59308,0.87693,0.83471,0.77008,0.83055,0.55472,0.94927,0.5412,0.85656,0.00922942,0.00922942,0.00922942
56,1034.91,1.06021,0.59036,0.87657,0.841,0.77096,0.83273,0.55626,0.94715,0.53722,0.85456,0.00920142,0.00920142,0.00920142
57,1052.48,1.0609,0.59261,0.87426,0.83848,0.77683,0.83569,0.55821,0.95059,0.5364,0.85635,0.00917296,0.00917296,0.00917296
58,1069.84,1.05275,0.58761,0.87471,0.8422,0.77379,0.83711,0.55956,0.94001,0.53363,0.85429,0.00914405,0.00914405,0.00914405
59,1087.15,1.05106,0.586,0.87287,0.83448,0.78009,0.83472,0.55933,0.94475,0.53248,0.85444,0.00911469,0.00911469,0.00911469
60,1104.52,1.05287,0.58463,0.87471,0.84162,0.7783,0.83659,0.5618,0.94168,0.53227,0.8546,0.00908488,0.00908488,0.00908488
61,1122,1.04988,0.58484,0.87475,0.83265,0.78223,0.83706,0.56109,0.94039,0.53064,0.8543,0.00905463,0.00905463,0.00905463
62,1139.82,1.04434,0.58325,0.87381,0.84909,0.7721,0.83756,0.56609,0.93255,0.52959,0.85255,0.00902395,0.00902395,0.00902395
63,1157.41,1.04684,0.58256,0.87158,0.83737,0.77694,0.8361,0.56353,0.93492,0.52918,0.85321,0.00899282,0.00899282,0.00899282
64,1175.42,1.0435,0.58045,0.87239,0.8423,0.77479,0.83756,0.56741,0.93225,0.52791,0.85163,0.00896127,0.00896127,0.00896127
65,1193.16,1.03885,0.57978,0.87188,0.84955,0.77476,0.83813,0.56696,0.93266,0.52562,0.85112,0.00892928,0.00892928,0.00892928
66,1210.54,1.03486,0.57708,0.87028,0.83787,0.77893,0.83878,0.56308,0.93355,0.52775,0.85139,0.00889687,0.00889687,0.00889687
67,1228.24,1.03732,0.57702,0.87014,0.84335,0.77713,0.83896,0.56506,0.93316,0.52804,0.85143,0.00886404,0.00886404,0.00886404
68,1245.69,1.03521,0.57452,0.87012,0.84123,0.78024,0.83895,0.56507,0.93065,0.52791,0.85166,0.00883079,0.00883079,0.00883079
69,1263.05,1.03177,0.57625,0.87161,0.83658,0.78065,0.83692,0.56536,0.92656,0.52628,0.85115,0.00879713,0.00879713,0.00879713
70,1280.4,1.03392,0.57335,0.8688,0.83914,0.78883,0.84115,0.57014,0.92355,0.52069,0.85002,0.00876305,0.00876305,0.00876305
71,1297.97,1.02918,0.57294,0.86912,0.84687,0.78226,0.84258,0.5689,0.92594,0.52243,0.85018,0.00872857,0.00872857,0.00872857
72,1315.73,1.02463,0.57227,0.86965,0.84439,0.78561,0.84253,0.57058,0.91732,0.51793,0.84966,0.00869368,0.00869368,0.00869368
73,1333.91,1.02684,0.57179,0.86824,0.84392,0.78097,0.83942,0.56683,0.92753,0.52204,0.85058,0.00865839,0.00865839,0.00865839
74,1351.84,1.02772,0.57073,0.86893,0.85284,0.77833,0.84186,0.57075,0.92057,0.51936,0.84924,0.00862271,0.00862271,0.00862271
75,1369.29,1.01749,0.56647,0.86755,0.839,0.7891,0.84117,0.56923,0.9237,0.52088,0.84978,0.00858664,0.00858664,0.00858664
76,1386.6,1.02205,0.56753,0.86839,0.84621,0.78324,0.84342,0.5742,0.91686,0.51568,0.84791,0.00855018,0.00855018,0.00855018
77,1403.92,1.01365,0.56401,0.86619,0.84732,0.78204,0.84231,0.57352,0.91575,0.51656,0.84825,0.00851333,0.00851333,0.00851333
78,1421.27,1.01352,0.56351,0.86786,0.84539,0.7884,0.84571,0.575,0.91801,0.51533,0.84766,0.00847611,0.00847611,0.00847611
79,1438.54,1.02208,0.5672,0.86586,0.84327,0.78512,0.84397,0.57224,0.91814,0.51584,0.84771,0.00843851,0.00843851,0.00843851
80,1456.27,1.01328,0.56321,0.86803,0.83782,0.79133,0.84432,0.57413,0.91415,0.51472,0.84707,0.00840054,0.00840054,0.00840054
81,1474.34,1.02174,0.56476,0.86556,0.84502,0.78511,0.84469,0.57707,0.91702,0.51359,0.84785,0.0083622,0.0083622,0.0083622
82,1492.22,1.01272,0.5632,0.86592,0.84457,0.78857,0.84505,0.57679,0.90902,0.51094,0.84563,0.00832349,0.00832349,0.00832349
