epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.865,3.81782,3.99437,3.29054,0.03703,0.12738,0.03204,0.01039,2.83286,3.03992,2.294,0.00331579,0.00331579,0.0701579
2,97.5822,2.69062,2.29624,1.92376,0.34453,0.1886,0.15925,0.06385,2.24954,1.83085,1.67502,0.00664894,0.00664894,0.0401577
3,142.841,2.21709,1.78867,1.58053,0.32327,0.38992,0.31815,0.15409,1.83965,1.39647,1.41392,0.00998137,0.00998137,0.0101568
4,187.247,1.84962,1.42712,1.35756,0.47757,0.47969,0.44922,0.22949,1.57446,1.14081,1.24359,0.00999756,0.00999756,0.00999756
5,230.881,1.63716,1.21001,1.24013,0.65424,0.59732,0.60611,0.33065,1.45368,1.00618,1.16527,0.00999566,0.00999566,0.00999566
6,272.57,1.52499,1.08014,1.17607,0.6803,0.62123,0.64567,0.37731,1.34313,0.94839,1.10117,0.00999322,0.00999322,0.00999322
7,313.567,1.44585,0.99989,1.13565,0.71517,0.66394,0.69562,0.41711,1.30013,0.854,1.0813,0.00999023,0.00999023,0.00999023
8,354.568,1.38704,0.94622,1.10924,0.71768,0.68279,0.71359,0.44286,1.23376,0.8199,1.06143,0.00998671,0.00998671,0.00998671
9,395.496,1.35522,0.90426,1.09222,0.73426,0.70194,0.73217,0.46388,1.21297,0.78862,1.04837,0.00998264,0.00998264,0.00998264
10,436.694,1.32464,0.87542,1.07646,0.75439,0.6922,0.74411,0.46615,1.21536,0.78018,1.03972,0.00997803,0.00997803,0.00997803
11,477.42,1.28921,0.84514,1.06418,0.76622,0.72268,0.76782,0.48533,1.20099,0.74385,1.03022,0.00997288,0.00997288,0.00997288
12,517.499,1.27335,0.82736,1.05404,0.76341,0.72051,0.76357,0.49002,1.15259,0.73163,1.01535,0.0099672,0.0099672,0.0099672
13,557.799,1.24499,0.80489,1.04255,0.77332,0.71439,0.76487,0.49524,1.14317,0.72658,1.01353,0.00996097,0.00996097,0.00996097
14,598.635,1.23251,0.78762,1.03509,0.77087,0.73878,0.78604,0.51112,1.11674,0.70889,1.00285,0.0099542,0.0099542,0.0099542
15,639.637,1.21525,0.77548,1.02716,0.79166,0.74036,0.79693,0.51886,1.10947,0.69313,0.99893,0.0099469,0.0099469,0.0099469
16,680.196,1.20702,0.76638,1.02447,0.79475,0.74263,0.79963,0.5261,1.10352,0.69131,0.99555,0.00993906,0.00993906,0.00993906
17,721.224,1.19724,0.75309,1.01799,0.78364,0.74849,0.79735,0.52482,1.10649,0.69454,0.99543,0.00993068,0.00993068,0.00993068
18,762.613,1.18605,0.74209,1.01277,0.79948,0.74889,0.80095,0.52825,1.0997,0.69015,0.99235,0.00992177,0.00992177,0.00992177
19,803.39,1.17285,0.73409,1.00774,0.80294,0.75491,0.81102,0.54265,1.08108,0.66189,0.98491,0.00991232,0.00991232,0.00991232
20,844.042,1.16482,0.72636,1.00364,0.81394,0.76024,0.81906,0.54994,1.06845,0.65546,0.98056,0.00990234,0.00990234,0.00990234
21,884.985,1.15706,0.71941,1.00208,0.81088,0.75839,0.81542,0.54382,1.07497,0.65961,0.98104,0.00989183,0.00989183,0.00989183
22,926.256,1.14822,0.71346,0.99745,0.81613,0.77035,0.82237,0.55369,1.06341,0.65198,0.9743,0.00988079,0.00988079,0.00988079
23,967.143,1.14379,0.70811,0.99492,0.81226,0.7676,0.8217,0.55468,1.06265,0.64444,0.97592,0.00986922,0.00986922,0.00986922
24,1008.11,1.13777,0.70319,0.99264,0.82245,0.76359,0.83141,0.56127,1.06229,0.63774,0.97127,0.00985711,0.00985711,0.00985711
25,1049.05,1.13256,0.69813,0.99296,0.82302,0.76619,0.82997,0.56255,1.05051,0.63764,0.97058,0.00984449,0.00984449,0.00984449
26,1090.31,1.12298,0.69111,0.98648,0.81589,0.77984,0.83291,0.56479,1.04931,0.63376,0.96742,0.00983133,0.00983133,0.00983133
27,1131.6,1.12238,0.68723,0.98553,0.82467,0.778,0.83785,0.56963,1.04223,0.62841,0.96598,0.00981765,0.00981765,0.00981765
28,1173.47,1.11282,0.68275,0.981,0.82211,0.77752,0.83537,0.56806,1.05067,0.63305,0.96592,0.00980345,0.00980345,0.00980345
29,1214.13,1.10668,0.68145,0.98106,0.8369,0.77086,0.84345,0.57779,1.0282,0.61689,0.96166,0.00978873,0.00978873,0.00978873
30,1255.05,1.10561,0.67693,0.97903,0.82227,0.7823,0.83579,0.57108,1.03439,0.6239,0.96072,0.00977349,0.00977349,0.00977349
31,1295.88,1.10491,0.6738,0.97821,0.82212,0.78692,0.84002,0.57933,1.02916,0.62207,0.95796,0.00975773,0.00975773,0.00975773
32,1336.41,1.09926,0.6684,0.97715,0.82759,0.78117,0.84194,0.57865,1.03079,0.61764,0.9595,0.00974145,0.00974145,0.00974145
33,1377.47,1.09509,0.66641,0.97646,0.82992,0.78484,0.84811,0.58414,1.01831,0.60846,0.95586,0.00972466,0.00972466,0.00972466
34,1418.22,1.09079,0.66274,0.97319,0.82968,0.78651,0.84276,0.57962,1.01921,0.61257,0.95489,0.00970736,0.00970736,0.00970736
35,1459.25,1.08491,0.65919,0.96832,0.84046,0.78768,0.8465,0.58595,1.01952,0.60806,0.95326,0.00968955,0.00968955,0.00968955
36,1502.02,1.08577,0.6565,0.96987,0.83517,0.78359,0.84527,0.58372,1.02267,0.60759,0.95553,0.00967122,0.00967122,0.00967122
37,1543.95,1.07867,0.65504,0.96785,0.83534,0.78352,0.84515,0.58423,1.01424,0.60924,0.95303,0.00965239,0.00965239,0.00965239
38,1584.92,1.07595,0.65244,0.96706,0.83551,0.79011,0.84923,0.58985,1.00996,0.6016,0.95346,0.00963306,0.00963306,0.00963306
39,1625.28,1.07791,0.65025,0.96567,0.84081,0.7862,0.84818,0.58452,1.00949,0.60281,0.95133,0.00961322,0.00961322,0.00961322
40,1666.36,1.06977,0.64635,0.96396,0.83079,0.79417,0.8488,0.58741,1.00932,0.60254,0.95186,0.00959289,0.00959289,0.00959289
41,1707.5,1.06953,0.64465,0.96328,0.83154,0.79479,0.85035,0.59081,1.00435,0.59377,0.94893,0.00957205,0.00957205,0.00957205
42,1748.24,1.07021,0.64153,0.96045,0.83856,0.79812,0.8535,0.59234,1.00332,0.59398,0.9489,0.00955072,0.00955072,0.00955072
43,1788.93,1.07408,0.64279,0.96174,0.84182,0.79315,0.85141,0.59089,1.00664,0.60115,0.94796,0.00952889,0.00952889,0.00952889
44,1830.04,1.06574,0.64038,0.96127,0.83787,0.79578,0.85136,0.59387,1.00484,0.5975,0.94691,0.00950658,0.00950658,0.00950658
45,1871.35,1.06678,0.63755,0.96048,0.83951,0.79317,0.85346,0.59759,1.00229,0.59424,0.94509,0.00948377,0.00948377,0.00948377
46,1911.53,1.05689,0.63425,0.95703,0.84094,0.79865,0.85649,0.59789,1.00043,0.59158,0.94539,0.00946048,0.00946048,0.00946048
47,1952.23,1.05569,0.63416,0.95937,0.84464,0.79794,0.85736,0.59899,0.9886,0.58737,0.94346,0.00943671,0.00943671,0.00943671
48,1992.67,1.05741,0.63104,0.95834,0.84211,0.79665,0.85315,0.59373,0.99747,0.59226,0.94599,0.00941245,0.00941245,0.00941245
49,2033.91,1.0589,0.63175,0.95661,0.83458,0.80522,0.85246,0.59794,0.97595,0.58716,0.94173,0.00938772,0.00938772,0.00938772
50,2074.75,1.05133,0.63028,0.95527,0.84771,0.79889,0.85671,0.60045,0.9808,0.58938,0.94096,0.00936251,0.00936251,0.00936251
51,2115.53,1.04652,0.62971,0.95415,0.84439,0.80379,0.86015,0.60388,0.97231,0.58416,0.94017,0.00933683,0.00933683,0.00933683
52,2156.26,1.05051,0.6279,0.95425,0.83685,0.80841,0.85787,0.59978,0.98208,0.59086,0.94163,0.00931067,0.00931067,0.00931067
53,2197.05,1.04479,0.62679,0.95504,0.84588,0.80145,0.85918,0.60405,0.97455,0.58371,0.93838,0.00928405,0.00928405,0.00928405
54,2237.8,1.04134,0.62527,0.95214,0.84509,0.80354,0.86156,0.60769,0.97069,0.58032,0.93897,0.00925697,0.00925697,0.00925697
55,2278.08,1.0404,0.62473,0.95147,0.83681,0.81282,0.86189,0.60787,0.96762,0.58149,0.93835,0.00922942,0.00922942,0.00922942
56,2319.17,1.04115,0.62362,0.9502,0.84872,0.80517,0.86151,0.60658,0.96602,0.58369,0.93723,0.00920142,0.00920142,0.00920142
57,2359.91,1.039,0.62324,0.94904,0.83794,0.8125,0.86094,0.60729,0.96235,0.57945,0.93659,0.00917296,0.00917296,0.00917296
58,2400.2,1.03257,0.62005,0.94778,0.84603,0.80822,0.86392,0.61075,0.96246,0.57897,0.93688,0.00914405,0.00914405,0.00914405
59,2440.9,1.03292,0.62018,0.94821,0.84889,0.80808,0.86188,0.61013,0.97012,0.57942,0.93557,0.00911469,0.00911469,0.00911469
60,2482.06,1.03726,0.62018,0.94767,0.84205,0.80888,0.86298,0.60863,0.97077,0.57878,0.93534,0.00908488,0.00908488,0.00908488
61,2523.29,1.03185,0.61849,0.94763,0.84059,0.81772,0.86356,0.61421,0.95521,0.57546,0.9334,0.00905463,0.00905463,0.00905463
62,2564.06,1.02971,0.61582,0.94576,0.85078,0.80617,0.8638,0.61402,0.9551,0.57753,0.9334,0.00902395,0.00902395,0.00902395
63,2605.2,1.03219,0.61872,0.94539,0.84426,0.81327,0.86589,0.61327,0.95941,0.57413,0.93405,0.00899282,0.00899282,0.00899282
64,2646.78,1.02812,0.61522,0.94559,0.84911,0.80936,0.86341,0.61264,0.95413,0.57579,0.93341,0.00896127,0.00896127,0.00896127
65,2687.59,1.02933,0.61726,0.9465,0.84888,0.81454,0.86408,0.61185,0.96127,0.5763,0.93425,0.00892928,0.00892928,0.00892928
66,2728.09,1.0254,0.614,0.94569,0.85084,0.81673,0.86629,0.61661,0.9516,0.57144,0.93198,0.00889687,0.00889687,0.00889687
67,2768.71,1.02326,0.61395,0.94362,0.84762,0.81185,0.86568,0.61428,0.9516,0.57284,0.9319,0.00886404,0.00886404,0.00886404
68,2809.44,1.02352,0.61387,0.94448,0.84938,0.81375,0.86792,0.61642,0.9468,0.57269,0.93163,0.00883079,0.00883079,0.00883079
69,2850.02,1.0233,0.61549,0.94435,0.85071,0.81661,0.86724,0.61608,0.94484,0.57483,0.93061,0.00879713,0.00879713,0.00879713
70,2891.03,1.02011,0.6118,0.94287,0.85262,0.81056,0.8667,0.61826,0.94411,0.56883,0.93084,0.00876305,0.00876305,0.00876305
71,2931.92,1.01785,0.60945,0.94139,0.84621,0.81629,0.8667,0.61781,0.94661,0.57185,0.9308,0.00872857,0.00872857,0.00872857
72,2973.1,1.0173,0.60848,0.94423,0.84976,0.81245,0.86648,0.61745,0.94661,0.57232,0.93036,0.00869368,0.00869368,0.00869368
73,3013.26,1.0153,0.60744,0.93936,0.84917,0.81601,0.86681,0.61788,0.94585,0.5693,0.93049,0.00865839,0.00865839,0.00865839
74,3053.8,1.01363,0.60862,0.93993,0.84786,0.81546,0.86651,0.61667,0.94317,0.57211,0.92848,0.00862271,0.00862271,0.00862271
75,3094.52,1.01046,0.60673,0.9378,0.8454,0.81874,0.86846,0.61975,0.93975,0.56875,0.9288,0.00858664,0.00858664,0.00858664
76,3135.99,1.00961,0.60574,0.94014,0.84948,0.81771,0.86815,0.61948,0.94395,0.56835,0.9286,0.00855018,0.00855018,0.00855018
77,3176.78,1.01444,0.60694,0.94013,0.85134,0.81801,0.86773,0.61808,0.94369,0.56669,0.9288,0.00851333,0.00851333,0.00851333
78,3217.43,1.01253,0.60431,0.93985,0.8485,0.82072,0.87016,0.62242,0.94074,0.56755,0.92728,0.00847611,0.00847611,0.00847611
79,3258.42,1.00912,0.60486,0.939,0.84934,0.81993,0.86987,0.6218,0.94024,0.5677,0.92731,0.00843851,0.00843851,0.00843851
80,3299.22,1.00603,0.60424,0.93729,0.84859,0.81978,0.86998,0.6218,0.93895,0.56692,0.9271,0.00840054,0.00840054,0.00840054
81,3340,1.00767,0.60389,0.93662,0.85272,0.81962,0.86984,0.62201,0.93905,0.56459,0.9269,0.0083622,0.0083622,0.0083622
82,3380.62,1.0072,0.6021,0.93784,0.85588,0.81649,0.87002,0.62314,0.93968,0.56377,0.92707,0.00832349,0.00832349,0.00832349
83,3421.51,1.01016,0.60238,0.9359,0.85389,0.81656,0.87076,0.62501,0.93953,0.56535,0.92623,0.00828443,0.00828443,0.00828443
84,3462.11,1.00397,0.59986,0.9353,0.8549,0.81893,0.87141,0.62484,0.93866,0.56483,0.92592,0.00824502,0.00824502,0.00824502
85,3502.17,1.00117,0.5998,0.93579,0.8476,0.8232,0.87127,0.62437,0.93916,0.56504,0.92588,0.00820525,0.00820525,0.00820525
86,3542.58,1.00426,0.6001,0.93751,0.84812,0.82233,0.87167,0.62538,0.93595,0.56518,0.9254,0.00816514,0.00816514,0.00816514
87,3583.56,1.00834,0.59985,0.93648,0.85138,0.81855,0.87032,0.62482,0.93588,0.56401,0.92471,0.00812468,0.00812468,0.00812468
88,3624.78,1.00034,0.59714,0.93481,0.85381,0.81999,0.87374,0.62838,0.93447,0.5614,0.92425,0.00808389,0.00808389,0.00808389
89,3665.54,1.00148,0.59613,0.93358,0.85632,0.81719,0.87061,0.62604,0.93525,0.56016,0.92432,0.00804277,0.00804277,0.00804277
90,3706.37,0.99781,0.59504,0.93346,0.85684,0.81844,0.87054,0.6254,0.93381,0.5591,0.92407,0.00800131,0.00800131,0.00800131
91,3746.75,1.00633,0.59364,0.93583,0.85644,0.81761,0.87102,0.62568,0.93458,0.56076,0.92367,0.00795954,0.00795954,0.00795954
92,3787.26,1.00017,0.59528,0.93252,0.85561,0.81913,0.87299,0.62718,0.9346,0.56061,0.92323,0.00791744,0.00791744,0.00791744
93,3827.96,0.99696,0.59476,0.93228,0.85754,0.81931,0.87347,0.62821,0.93343,0.55899,0.92278,0.00787503,0.00787503,0.00787503
94,3868.26,0.9965,0.59503,0.93202,0.85483,0.82261,0.8734,0.62917,0.93209,0.55705,0.92222,0.00783231,0.00783231,0.00783231
95,3909.13,0.99492,0.59276,0.93218,0.85221,0.82628,0.87286,0.62919,0.93242,0.55637,0.92247,0.00778929,0.00778929,0.00778929
96,3949.96,0.99427,0.59098,0.93131,0.84992,0.8256,0.87289,0.62982,0.93091,0.55692,0.92203,0.00774596,0.00774596,0.00774596
97,3990.97,0.99981,0.59374,0.93128,0.85237,0.82409,0.87265,0.62931,0.93238,0.55773,0.92203,0.00770234,0.00770234,0.00770234
98,4031.83,0.99296,0.58993,0.92917,0.85234,0.82353,0.87302,0.62997,0.93222,0.55766,0.92171,0.00765843,0.00765843,0.00765843
99,4072.84,0.99313,0.58807,0.9308,0.85021,0.82546,0.87352,0.63042,0.93171,0.55683,0.92131,0.00761423,0.00761423,0.00761423
