epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9577,3.92817,4.26046,3.48327,0.40515,0.06609,0.01483,0.0043,2.96815,3.17339,2.63951,0.00331183,0.00331183,0.0701935
2,93.9105,2.73634,2.39364,2.0248,0.44546,0.14491,0.12399,0.04375,2.47902,2.02764,1.82267,0.00664498,0.00664498,0.0401934
3,135.727,2.29385,1.83719,1.63705,0.29368,0.24129,0.23807,0.10596,2.02399,1.46683,1.47486,0.00997741,0.00997741,0.0101925
4,177.436,1.94877,1.48894,1.40632,0.44509,0.45658,0.41241,0.19932,1.6964,1.20793,1.28627,0.00999756,0.00999756,0.00999756
5,219.258,1.71463,1.26237,1.27758,0.60441,0.54127,0.53779,0.28454,1.51313,1.06868,1.19144,0.00999566,0.00999566,0.00999566
6,260.012,1.59192,1.13954,1.2065,0.62735,0.58637,0.58607,0.31592,1.47563,1.02581,1.16628,0.00999322,0.00999322,0.00999322
7,300.982,1.5008,1.05213,1.15823,0.6643,0.64038,0.66219,0.38925,1.30725,0.89885,1.1007,0.00999023,0.00999023,0.00999023
8,342.178,1.44089,1.00183,1.12949,0.69773,0.66587,0.69085,0.41491,1.2743,0.86873,1.07945,0.00998671,0.00998671,0.00998671
9,383.018,1.40398,0.95625,1.11019,0.75189,0.67102,0.7201,0.42814,1.3097,0.83602,1.07563,0.00998264,0.00998264,0.00998264
10,423.942,1.36713,0.91931,1.08938,0.74569,0.70567,0.74406,0.45773,1.21795,0.797,1.04972,0.00997803,0.00997803,0.00997803
11,465.276,1.32885,0.88501,1.07574,0.75854,0.70066,0.75226,0.47126,1.19453,0.77146,1.03483,0.00997288,0.00997288,0.00997288
12,506.69,1.30114,0.86006,1.06345,0.77645,0.71643,0.76449,0.48342,1.16636,0.74915,1.02314,0.0099672,0.0099672,0.0099672
13,547.585,1.28637,0.84044,1.05602,0.78312,0.71907,0.77416,0.49788,1.15735,0.74017,1.01974,0.00996097,0.00996097,0.00996097
14,588.42,1.26294,0.82227,1.04721,0.77815,0.70554,0.76237,0.48911,1.14597,0.74675,1.01377,0.0099542,0.0099542,0.0099542
15,629.89,1.2446,0.80509,1.03589,0.78697,0.71584,0.77722,0.50246,1.11728,0.72447,1.0073,0.0099469,0.0099469,0.0099469
16,670.694,1.23072,0.79054,1.03175,0.78065,0.73664,0.78621,0.5107,1.12528,0.71908,1.00307,0.00993906,0.00993906,0.00993906
17,711.63,1.22004,0.78161,1.02534,0.79539,0.74166,0.79775,0.52173,1.1116,0.69504,1.00026,0.00993068,0.00993068,0.00993068
18,752.604,1.20425,0.7679,1.01883,0.80315,0.7455,0.79958,0.52783,1.09833,0.6876,0.99303,0.00992177,0.00992177,0.00992177
19,794.047,1.18912,0.75924,1.01227,0.80593,0.74367,0.80085,0.52649,1.08977,0.6841,0.99131,0.00991232,0.00991232,0.00991232
20,834.842,1.18502,0.7477,1.00878,0.80823,0.74601,0.8098,0.53898,1.07593,0.67564,0.98713,0.00990234,0.00990234,0.00990234
21,875.891,1.17269,0.73944,1.00562,0.80627,0.74613,0.81078,0.53876,1.09196,0.68274,0.98612,0.00989183,0.00989183,0.00989183
22,917.021,1.1758,0.73481,1.00682,0.8117,0.75979,0.8187,0.5491,1.07243,0.66218,0.98144,0.00988079,0.00988079,0.00988079
23,957.992,1.16472,0.72659,1.00081,0.81269,0.75496,0.81261,0.54388,1.06511,0.66359,0.98077,0.00986922,0.00986922,0.00986922
24,998.953,1.15493,0.72247,0.99774,0.81519,0.76188,0.81458,0.54607,1.06668,0.65971,0.97973,0.00985711,0.00985711,0.00985711
25,1040.13,1.14953,0.71317,0.99687,0.82375,0.76878,0.82541,0.55889,1.05555,0.6445,0.97354,0.00984449,0.00984449,0.00984449
26,1081.21,1.14349,0.70925,0.99209,0.81668,0.76476,0.82303,0.55633,1.05142,0.6482,0.97257,0.00983133,0.00983133,0.00983133
27,1122.06,1.13725,0.70381,0.99051,0.82022,0.77408,0.82917,0.55975,1.05432,0.64142,0.97193,0.00981765,0.00981765,0.00981765
28,1162.78,1.13284,0.70005,0.9903,0.81767,0.76534,0.82469,0.55664,1.05896,0.64914,0.97064,0.00980345,0.00980345,0.00980345
29,1203.74,1.12835,0.69409,0.98722,0.82808,0.76961,0.831,0.56526,1.04602,0.63416,0.96873,0.00978873,0.00978873,0.00978873
30,1244.31,1.11848,0.68621,0.98294,0.82912,0.77622,0.83259,0.56457,1.0415,0.63055,0.96779,0.00977349,0.00977349,0.00977349
31,1284.9,1.11848,0.68908,0.98414,0.8215,0.77602,0.82925,0.56088,1.06888,0.6369,0.97299,0.00975773,0.00975773,0.00975773
32,1326.09,1.1142,0.68245,0.98083,0.83217,0.77153,0.83475,0.5688,1.0333,0.63294,0.9641,0.00974145,0.00974145,0.00974145
33,1367,1.10708,0.67865,0.97876,0.8321,0.77279,0.83285,0.56883,1.0335,0.62559,0.96372,0.00972466,0.00972466,0.00972466
34,1407.68,1.10208,0.67317,0.97654,0.82716,0.77533,0.83432,0.56781,1.04139,0.62842,0.9667,0.00970736,0.00970736,0.00970736
35,1448.87,1.10012,0.6716,0.97621,0.82608,0.78492,0.83531,0.57094,1.02498,0.61975,0.96131,0.00968955,0.00968955,0.00968955
36,1490.19,1.09702,0.67088,0.97315,0.83343,0.77914,0.83644,0.5744,1.01935,0.61953,0.95975,0.00967122,0.00967122,0.00967122
37,1531.11,1.09422,0.66727,0.97144,0.82456,0.7857,0.83846,0.57381,1.0236,0.62248,0.95747,0.00965239,0.00965239,0.00965239
38,1572.36,1.08957,0.66253,0.9721,0.82918,0.78302,0.83826,0.57571,1.02076,0.61498,0.95585,0.00963306,0.00963306,0.00963306
39,1613.75,1.08737,0.66384,0.96875,0.83051,0.78396,0.84152,0.57765,1.02385,0.61712,0.95902,0.00961322,0.00961322,0.00961322
40,1654.98,1.0841,0.65935,0.96915,0.84146,0.78382,0.84544,0.58362,1.01076,0.61109,0.95485,0.00959289,0.00959289,0.00959289
41,1695.69,1.08107,0.65609,0.96888,0.84327,0.78166,0.84678,0.58383,1.01204,0.60972,0.95496,0.00957205,0.00957205,0.00957205
42,1736.97,1.07878,0.65429,0.96518,0.83649,0.78564,0.84441,0.58691,0.99987,0.60425,0.9516,0.00955072,0.00955072,0.00955072
43,1778.66,1.08196,0.65497,0.96778,0.8294,0.78922,0.84371,0.58398,1.00453,0.60563,0.95294,0.00952889,0.00952889,0.00952889
44,1819.52,1.07417,0.65094,0.96588,0.83944,0.79239,0.85215,0.5874,1.00554,0.59491,0.95403,0.00950658,0.00950658,0.00950658
45,1860.12,1.07122,0.64665,0.96285,0.84165,0.79099,0.8525,0.59302,0.99914,0.59696,0.9493,0.00948377,0.00948377,0.00948377
46,1901.17,1.06957,0.64584,0.96105,0.84217,0.79652,0.85452,0.59427,1.00275,0.59597,0.95013,0.00946048,0.00946048,0.00946048
47,1942.46,1.06824,0.64365,0.9638,0.83467,0.79627,0.85216,0.59162,1.00325,0.59815,0.95239,0.00943671,0.00943671,0.00943671
48,1983.51,1.06771,0.64075,0.96209,0.83385,0.80083,0.85314,0.59395,1.01021,0.59705,0.9511,0.00941245,0.00941245,0.00941245
49,2024.46,1.0646,0.63975,0.96053,0.84305,0.79931,0.85716,0.59735,0.99933,0.59156,0.94805,0.00938772,0.00938772,0.00938772
50,2065.67,1.06516,0.63837,0.96022,0.83678,0.79973,0.8571,0.59803,1.00037,0.59185,0.94683,0.00936251,0.00936251,0.00936251
51,2106.59,1.06246,0.63536,0.95816,0.8403,0.79821,0.85444,0.59658,1.00684,0.59266,0.94772,0.00933683,0.00933683,0.00933683
52,2147.2,1.06159,0.63524,0.95769,0.83674,0.79852,0.85324,0.59507,0.99824,0.59192,0.94983,0.00931067,0.00931067,0.00931067
53,2188.13,1.05835,0.63548,0.95813,0.84176,0.80077,0.856,0.59573,0.99922,0.59089,0.94669,0.00928405,0.00928405,0.00928405
54,2229.42,1.05413,0.62832,0.95665,0.83793,0.80187,0.85703,0.5983,0.99261,0.58803,0.94611,0.00925697,0.00925697,0.00925697
55,2270.34,1.05249,0.62946,0.95622,0.84517,0.80576,0.85979,0.59657,1.00383,0.58658,0.9486,0.00922942,0.00922942,0.00922942
56,2311.52,1.05026,0.62587,0.95562,0.84112,0.80162,0.85947,0.59929,1.00005,0.58898,0.94679,0.00920142,0.00920142,0.00920142
57,2352.69,1.05067,0.62533,0.95329,0.8394,0.80357,0.85808,0.60113,0.99167,0.5856,0.94387,0.00917296,0.00917296,0.00917296
58,2393.43,1.05358,0.62513,0.95285,0.84998,0.80022,0.86065,0.60233,0.99532,0.58185,0.94386,0.00914405,0.00914405,0.00914405
59,2434.52,1.04749,0.62494,0.9512,0.84122,0.80773,0.85803,0.60008,0.98921,0.5846,0.94308,0.00911469,0.00911469,0.00911469
60,2475.81,1.04885,0.62264,0.95155,0.84383,0.8072,0.85986,0.60349,0.98893,0.57936,0.94152,0.00908488,0.00908488,0.00908488
61,2517.22,1.04768,0.62278,0.95239,0.84971,0.80573,0.86075,0.60535,0.99045,0.57549,0.94134,0.00905463,0.00905463,0.00905463
62,2557.31,1.04659,0.62306,0.95102,0.84371,0.80835,0.86293,0.60791,0.98798,0.58043,0.94114,0.00902395,0.00902395,0.00902395
63,2597.89,1.04585,0.61947,0.9502,0.84362,0.8057,0.86068,0.60569,0.98461,0.57761,0.94093,0.00899282,0.00899282,0.00899282
64,2639.06,1.03945,0.61751,0.94789,0.84584,0.8064,0.86238,0.60527,0.98588,0.57681,0.94061,0.00896127,0.00896127,0.00896127
65,2679.65,1.04459,0.6178,0.94985,0.84533,0.8055,0.85981,0.60307,0.98452,0.57999,0.94017,0.00892928,0.00892928,0.00892928
66,2720.4,1.04087,0.61883,0.94944,0.84464,0.81016,0.86537,0.61083,0.97553,0.57106,0.93816,0.00889687,0.00889687,0.00889687
67,2761.58,1.03371,0.61427,0.94868,0.85044,0.80438,0.86265,0.60836,0.97354,0.57629,0.93972,0.00886404,0.00886404,0.00886404
68,2802.7,1.03384,0.6138,0.94694,0.84441,0.81039,0.86369,0.6072,0.97769,0.57846,0.93945,0.00883079,0.00883079,0.00883079
69,2843.63,1.03227,0.6154,0.94756,0.83993,0.80996,0.863,0.60855,0.97805,0.5767,0.93823,0.00879713,0.00879713,0.00879713
70,2884.21,1.03606,0.61554,0.94803,0.84453,0.81115,0.86378,0.61009,0.97741,0.57157,0.93823,0.00876305,0.00876305,0.00876305
71,2925.57,1.02209,0.613,0.94581,0.84809,0.80968,0.86599,0.61225,0.96365,0.57418,0.93771,0.00872857,0.00872857,0.00872857
72,2966.26,1.02065,0.61141,0.94713,0.85099,0.81377,0.86784,0.61397,0.96223,0.57146,0.93628,0.00869368,0.00869368,0.00869368
73,3007.23,1.02362,0.60958,0.94484,0.84717,0.81268,0.86497,0.61122,0.96286,0.57319,0.93569,0.00865839,0.00865839,0.00865839
74,3048.14,1.02078,0.60977,0.94516,0.84908,0.81333,0.86665,0.61426,0.96387,0.56938,0.9368,0.00862271,0.00862271,0.00862271
75,3089.28,1.02189,0.61093,0.94374,0.85274,0.80875,0.86807,0.61426,0.9644,0.57006,0.93587,0.00858664,0.00858664,0.00858664
76,3130.03,1.02043,0.6062,0.94425,0.84821,0.80862,0.86644,0.61255,0.96884,0.57377,0.93668,0.00855018,0.00855018,0.00855018
77,3171.17,1.01911,0.60766,0.94219,0.84832,0.81608,0.86819,0.61613,0.96127,0.56828,0.93381,0.00851333,0.00851333,0.00851333
78,3212.35,1.01899,0.60728,0.94441,0.84169,0.81625,0.86669,0.61409,0.95593,0.57027,0.93398,0.00847611,0.00847611,0.00847611
79,3253.74,1.0148,0.60689,0.94381,0.84447,0.81705,0.86798,0.61674,0.95473,0.56866,0.93356,0.00843851,0.00843851,0.00843851
80,3294.53,1.01013,0.60466,0.94047,0.84573,0.81702,0.86696,0.61602,0.95906,0.5667,0.93359,0.00840054,0.00840054,0.00840054
81,3335.15,1.01613,0.60495,0.94239,0.84967,0.81781,0.86933,0.61618,0.96557,0.56458,0.93362,0.0083622,0.0083622,0.0083622
82,3376.2,1.01126,0.60362,0.94177,0.8471,0.81616,0.86889,0.61812,0.95313,0.56575,0.93236,0.00832349,0.00832349,0.00832349
83,3416.81,1.01613,0.60447,0.93941,0.85099,0.81451,0.86919,0.61771,0.96404,0.56493,0.93284,0.00828443,0.00828443,0.00828443
84,3458.24,1.01501,0.60235,0.9405,0.8489,0.81411,0.86834,0.61616,0.96283,0.56775,0.93306,0.00824502,0.00824502,0.00824502
85,3499.56,1.01536,0.60391,0.93904,0.84921,0.81905,0.87,0.61894,0.96598,0.5657,0.93247,0.00820525,0.00820525,0.00820525
86,3540.02,1.00703,0.59968,0.93969,0.8511,0.8163,0.86799,0.61867,0.95846,0.5645,0.93181,0.00816514,0.00816514,0.00816514
87,3580.68,1.01255,0.60077,0.93873,0.8495,0.8166,0.8686,0.6192,0.9585,0.56573,0.93096,0.00812468,0.00812468,0.00812468
88,3621.78,1.01226,0.60061,0.93769,0.84948,0.81651,0.87022,0.62065,0.95682,0.564,0.92936,0.00808389,0.00808389,0.00808389
89,3663.05,1.01558,0.59933,0.93773,0.8512,0.81599,0.86865,0.61975,0.96209,0.5647,0.93004,0.00804277,0.00804277,0.00804277
90,3704.14,1.01364,0.59978,0.93764,0.84971,0.81654,0.86964,0.62003,0.95935,0.56451,0.9304,0.00800131,0.00800131,0.00800131
91,3745.26,1.00902,0.59679,0.9404,0.85243,0.81627,0.87128,0.62044,0.95398,0.5627,0.93013,0.00795954,0.00795954,0.00795954
92,3786.71,1.00514,0.59784,0.93572,0.85057,0.81301,0.87048,0.62029,0.95388,0.56396,0.92982,0.00791744,0.00791744,0.00791744
93,3827.3,1.00944,0.59836,0.93692,0.85199,0.81533,0.87006,0.62073,0.95361,0.5632,0.92846,0.00787503,0.00787503,0.00787503
