epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0159,3.91758,4.16068,3.38537,0.55362,0.01583,0.00955,0.00242,3.48476,3.38687,2.95618,0.0033165,0.0033165,0.0701515
2,92.8308,2.8018,2.4262,2.06537,0.19636,0.19822,0.14911,0.0589,2.1956,1.87806,1.73305,0.00664965,0.00664965,0.0401513
3,134.718,2.25559,1.81353,1.61859,0.32734,0.37978,0.30906,0.1443,1.87852,1.47927,1.41065,0.00998208,0.00998208,0.0101504
4,175.544,1.92511,1.47405,1.39068,0.43113,0.49428,0.45805,0.2334,1.59813,1.21688,1.25123,0.00999756,0.00999756,0.00999756
5,216.466,1.73044,1.28026,1.27806,0.54978,0.5618,0.54052,0.29632,1.46651,1.0927,1.18598,0.00999566,0.00999566,0.00999566
6,256.961,1.60938,1.17357,1.21517,0.62635,0.61235,0.60442,0.34481,1.40998,0.96982,1.14844,0.00999322,0.00999322,0.00999322
7,297.098,1.52517,1.08129,1.17095,0.67615,0.61438,0.63825,0.36111,1.36993,0.93208,1.11883,0.00999023,0.00999023,0.00999023
8,338.222,1.46904,1.02612,1.13794,0.67776,0.621,0.64035,0.37477,1.38191,0.93348,1.10239,0.00998671,0.00998671,0.00998671
9,379.043,1.4222,0.97669,1.11767,0.65983,0.60985,0.62805,0.35795,1.3311,0.94305,1.0991,0.00998264,0.00998264,0.00998264
10,419.205,1.38306,0.94245,1.09829,0.73678,0.6713,0.72053,0.44329,1.21979,0.82332,1.05344,0.00997803,0.00997803,0.00997803
11,460.157,1.35331,0.90685,1.08531,0.75504,0.68959,0.73872,0.46074,1.20693,0.80234,1.04604,0.00997288,0.00997288,0.00997288
12,500.85,1.32597,0.89026,1.07609,0.75223,0.70342,0.75546,0.47532,1.17962,0.77763,1.03436,0.0099672,0.0099672,0.0099672
13,541.228,1.30187,0.86674,1.06326,0.76728,0.71515,0.76694,0.48057,1.16377,0.763,1.02568,0.00996097,0.00996097,0.00996097
14,581.139,1.27911,0.84763,1.05345,0.76564,0.72191,0.77046,0.49166,1.14985,0.75443,1.01804,0.0099542,0.0099542,0.0099542
15,621.999,1.26542,0.8288,1.04572,0.77581,0.73502,0.78299,0.5052,1.12628,0.73269,1.01004,0.0099469,0.0099469,0.0099469
16,662.567,1.25054,0.81501,1.04071,0.77546,0.73318,0.78355,0.50877,1.1329,0.73051,1.0055,0.00993906,0.00993906,0.00993906
17,702.887,1.23815,0.80264,1.03351,0.76867,0.74128,0.7823,0.50574,1.12719,0.72426,1.00625,0.00993068,0.00993068,0.00993068
18,743.828,1.22453,0.79001,1.02835,0.77703,0.74362,0.7848,0.50403,1.13805,0.72921,1.00831,0.00992177,0.00992177,0.00992177
19,784.649,1.21169,0.78152,1.02102,0.78289,0.73973,0.78755,0.51369,1.11245,0.71915,0.99838,0.00991232,0.00991232,0.00991232
20,824.903,1.19989,0.7702,1.01793,0.77856,0.74954,0.79677,0.52134,1.11295,0.70059,0.9971,0.00990234,0.00990234,0.00990234
21,865.093,1.19629,0.76333,1.01591,0.78893,0.75762,0.80066,0.5311,1.09488,0.68895,0.9884,0.00989183,0.00989183,0.00989183
22,905.706,1.19172,0.75365,1.01045,0.7938,0.75434,0.80469,0.53302,1.09517,0.68729,0.99043,0.00988079,0.00988079,0.00988079
23,946.263,1.1835,0.74556,1.00838,0.80417,0.75504,0.81108,0.5411,1.075,0.68253,0.9837,0.00986922,0.00986922,0.00986922
24,986.551,1.16916,0.73949,1.00455,0.78809,0.76165,0.80917,0.53824,1.08466,0.6772,0.98405,0.00985711,0.00985711,0.00985711
25,1027.11,1.16471,0.73353,1.00337,0.81387,0.76195,0.82105,0.54677,1.0738,0.66081,0.9795,0.00984449,0.00984449,0.00984449
26,1067.41,1.15734,0.72728,0.99991,0.79485,0.77077,0.81288,0.54262,1.08444,0.66854,0.98091,0.00983133,0.00983133,0.00983133
27,1107.82,1.14965,0.71824,0.99521,0.80692,0.77141,0.81935,0.55109,1.06929,0.66641,0.97797,0.00981765,0.00981765,0.00981765
28,1148.47,1.14672,0.71707,0.99533,0.81254,0.77853,0.82603,0.55805,1.06198,0.6522,0.97511,0.00980345,0.00980345,0.00980345
29,1189.54,1.1413,0.71189,0.99416,0.81038,0.77739,0.82581,0.55824,1.06519,0.65289,0.97406,0.00978873,0.00978873,0.00978873
30,1229.47,1.13749,0.7074,0.99133,0.81972,0.77803,0.82963,0.56187,1.05638,0.64502,0.97274,0.00977349,0.00977349,0.00977349
31,1269.83,1.13209,0.70475,0.98968,0.81654,0.77646,0.82889,0.56203,1.05855,0.64714,0.97084,0.00975773,0.00975773,0.00975773
32,1310.13,1.12888,0.69883,0.9877,0.81635,0.78541,0.83412,0.56324,1.04778,0.64291,0.96869,0.00974145,0.00974145,0.00974145
33,1350.25,1.12705,0.69704,0.98803,0.82238,0.77633,0.82707,0.55708,1.05216,0.64911,0.96973,0.00972466,0.00972466,0.00972466
34,1390.62,1.1205,0.69025,0.9855,0.81622,0.78039,0.82889,0.56023,1.04486,0.64297,0.96784,0.00970736,0.00970736,0.00970736
35,1431.05,1.11269,0.684,0.97955,0.82378,0.78183,0.83478,0.56524,1.04846,0.63679,0.96685,0.00968955,0.00968955,0.00968955
36,1471.93,1.10959,0.6848,0.98118,0.82724,0.77838,0.83538,0.56755,1.0444,0.63219,0.9649,0.00967122,0.00967122,0.00967122
37,1512.17,1.10816,0.68238,0.9781,0.82161,0.78594,0.83446,0.5706,1.03745,0.6299,0.96291,0.00965239,0.00965239,0.00965239
38,1552.28,1.1016,0.67559,0.97627,0.82171,0.79159,0.843,0.57722,1.02949,0.61973,0.95938,0.00963306,0.00963306,0.00963306
39,1593.04,1.10189,0.67531,0.97524,0.82529,0.79252,0.83969,0.57409,1.03257,0.62158,0.95898,0.00961322,0.00961322,0.00961322
40,1633.99,1.09482,0.67054,0.97297,0.83037,0.78749,0.84107,0.57871,1.02927,0.62054,0.95797,0.00959289,0.00959289,0.00959289
41,1674.51,1.09535,0.67011,0.97336,0.83214,0.78944,0.844,0.5807,1.03059,0.62022,0.95815,0.00957205,0.00957205,0.00957205
42,1715.62,1.09008,0.66346,0.96931,0.82755,0.79008,0.84508,0.58179,1.03196,0.61588,0.95729,0.00955072,0.00955072,0.00955072
43,1757.2,1.09166,0.66418,0.97119,0.83021,0.7808,0.83952,0.5764,1.03095,0.62187,0.95744,0.00952889,0.00952889,0.00952889
44,1797.68,1.08706,0.66154,0.96884,0.83125,0.79114,0.8453,0.58364,1.01935,0.61661,0.95458,0.00950658,0.00950658,0.00950658
45,1837.86,1.0854,0.65882,0.96965,0.82656,0.79306,0.84362,0.58037,1.02749,0.61519,0.95644,0.00948377,0.00948377,0.00948377
46,1879.05,1.07392,0.65508,0.96623,0.83132,0.79412,0.84684,0.58374,1.01559,0.61502,0.95343,0.00946048,0.00946048,0.00946048
47,1919.31,1.0761,0.65337,0.96671,0.83146,0.79719,0.85063,0.58665,1.0148,0.60855,0.95327,0.00943671,0.00943671,0.00943671
48,1960.25,1.07307,0.65252,0.96596,0.82471,0.80149,0.84871,0.58437,1.02102,0.6069,0.95297,0.00941245,0.00941245,0.00941245
49,2001.43,1.07396,0.65219,0.96492,0.83867,0.79063,0.84859,0.58633,1.02139,0.61217,0.95512,0.00938772,0.00938772,0.00938772
50,2042.53,1.06995,0.64844,0.96169,0.83505,0.79914,0.85162,0.59161,1.00921,0.60442,0.95078,0.00936251,0.00936251,0.00936251
51,2083.11,1.06824,0.64803,0.96339,0.82886,0.80339,0.85187,0.59165,1.00872,0.60502,0.94909,0.00933683,0.00933683,0.00933683
52,2124.17,1.06607,0.6468,0.95977,0.83159,0.798,0.8504,0.58874,1.01015,0.60958,0.95048,0.00931067,0.00931067,0.00931067
53,2165.29,1.06273,0.64495,0.9636,0.83511,0.80766,0.8551,0.59414,0.99975,0.60055,0.94741,0.00928405,0.00928405,0.00928405
54,2205.46,1.06077,0.64066,0.961,0.83431,0.80192,0.8549,0.59617,1.00088,0.59941,0.94679,0.00925697,0.00925697,0.00925697
55,2245.53,1.06353,0.6418,0.9587,0.83368,0.79861,0.8542,0.59544,1.0018,0.60036,0.94786,0.00922942,0.00922942,0.00922942
56,2286.42,1.05954,0.63934,0.95896,0.83425,0.79767,0.85387,0.59148,1.00612,0.60122,0.94892,0.00920142,0.00920142,0.00920142
57,2327.16,1.0598,0.63775,0.95733,0.83746,0.79906,0.85645,0.59635,1.00094,0.5959,0.94625,0.00917296,0.00917296,0.00917296
58,2367.35,1.05953,0.63497,0.95589,0.82931,0.80494,0.85699,0.59734,1.00452,0.59433,0.94555,0.00914405,0.00914405,0.00914405
59,2408.06,1.05378,0.63323,0.9539,0.8324,0.80825,0.85778,0.60004,0.99657,0.59445,0.94383,0.00911469,0.00911469,0.00911469
60,2449.77,1.0564,0.63407,0.95638,0.83174,0.80522,0.85419,0.59598,0.99726,0.59272,0.94484,0.00908488,0.00908488,0.00908488
61,2490.57,1.05229,0.63159,0.95629,0.83194,0.8097,0.8575,0.60026,1.00249,0.59501,0.94412,0.00905463,0.00905463,0.00905463
62,2530.76,1.0541,0.63022,0.95486,0.8366,0.81004,0.85881,0.60021,0.99876,0.58865,0.94316,0.00902395,0.00902395,0.00902395
63,2571.69,1.05329,0.63177,0.95554,0.83126,0.80809,0.85752,0.59678,0.99729,0.59159,0.94469,0.00899282,0.00899282,0.00899282
64,2612.06,1.04993,0.62637,0.95265,0.82913,0.81292,0.85905,0.60214,0.99309,0.58794,0.94356,0.00896127,0.00896127,0.00896127
65,2652.11,1.05308,0.62921,0.95459,0.83318,0.80572,0.85304,0.59703,0.99968,0.59276,0.94361,0.00892928,0.00892928,0.00892928
66,2693.23,1.05436,0.62752,0.95425,0.84503,0.80386,0.86139,0.6045,0.99409,0.58543,0.94021,0.00889687,0.00889687,0.00889687
67,2734.12,1.05088,0.62475,0.95182,0.83409,0.81732,0.86016,0.60458,0.99511,0.58401,0.93963,0.00886404,0.00886404,0.00886404
68,2774.29,1.04981,0.62439,0.95073,0.83638,0.81451,0.86063,0.60471,0.9955,0.58732,0.93945,0.00883079,0.00883079,0.00883079
69,2814.91,1.04761,0.62131,0.95024,0.84303,0.81454,0.86405,0.60915,0.99234,0.5814,0.9395,0.00879713,0.00879713,0.00879713
