epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1783,4.21048,4.02159,3.51129,0.00109,0.00387,0.00019,4e-05,4.16477,3.75874,3.5172,0.00330303,0.00330303,0.0702727
2,61.7771,3.13177,2.47862,1.90268,0.43737,0.12386,0.10216,0.04053,2.2577,1.82455,1.47129,0.00663618,0.00663618,0.0402725
3,87.4828,2.40064,1.6143,1.32688,0.27489,0.29424,0.24285,0.09581,1.99435,1.37111,1.2117,0.00996861,0.00996861,0.0102716
4,114.772,1.973,1.24913,1.15389,0.42413,0.45019,0.43084,0.20776,1.67098,1.14338,1.09483,0.00999756,0.00999756,0.00999756
5,136.994,1.71979,1.06014,1.06873,0.56251,0.60151,0.56701,0.29107,1.48784,0.90789,1.02046,0.00999566,0.00999566,0.00999566
6,164.535,1.58451,0.95839,1.02165,0.70077,0.613,0.63779,0.35006,1.35101,0.83433,0.96982,0.00999322,0.00999322,0.00999322
7,186.82,1.50142,0.89476,0.99559,0.75331,0.6369,0.6847,0.3953,1.24529,0.75828,0.95576,0.00999023,0.00999023,0.00999023
8,216.695,1.43601,0.84367,0.97545,0.72986,0.63641,0.68106,0.38382,1.25005,0.76286,0.94342,0.00998671,0.00998671,0.00998671
9,239.208,1.38277,0.80789,0.96327,0.74968,0.66091,0.69926,0.41094,1.23949,0.74631,0.94099,0.00998264,0.00998264,0.00998264
10,267.258,1.34734,0.78032,0.95015,0.77662,0.67623,0.73122,0.4389,1.19917,0.69994,0.91585,0.00997803,0.00997803,0.00997803
11,288.93,1.30892,0.75422,0.94209,0.78283,0.68329,0.73671,0.44557,1.1498,0.67141,0.90884,0.00997288,0.00997288,0.00997288
12,318.394,1.28943,0.73695,0.93454,0.78774,0.70587,0.75548,0.46703,1.11313,0.65049,0.90297,0.0099672,0.0099672,0.0099672
13,340.8,1.2641,0.72418,0.93034,0.78379,0.70629,0.75427,0.46429,1.11282,0.65341,0.90056,0.00996097,0.00996097,0.00996097
14,370.688,1.24273,0.70674,0.92227,0.79002,0.70072,0.75143,0.45667,1.12147,0.65522,0.90169,0.0099542,0.0099542,0.0099542
15,392.659,1.22693,0.6942,0.9162,0.78733,0.71233,0.75842,0.46707,1.10047,0.64827,0.89832,0.0099469,0.0099469,0.0099469
16,421.761,1.20302,0.68117,0.91374,0.81524,0.71923,0.78037,0.49459,1.0466,0.60881,0.88541,0.00993906,0.00993906,0.00993906
