epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3212,3.86359,3.62546,3.21759,0.00661,0.03301,0.00491,0.00143,3.01768,3.58287,2.94193,0.00330508,0.00330508,0.0702542
2,56.0001,2.92297,2.25412,1.70749,0.17438,0.1788,0.136,0.05252,2.23684,1.68519,1.38851,0.00663824,0.00663824,0.0402541
3,80.847,2.34614,1.5921,1.30286,0.36008,0.36665,0.29207,0.11683,1.99648,1.31785,1.22226,0.00997067,0.00997067,0.0102532
4,104.489,2.04191,1.31812,1.16826,0.46817,0.48472,0.41783,0.19843,1.74952,1.15409,1.08929,0.00999756,0.00999756,0.00999756
5,128.172,1.85022,1.15766,1.10335,0.57488,0.53016,0.50779,0.24978,1.55929,1.00722,1.0343,0.00999566,0.00999566,0.00999566
6,151.551,1.71869,1.05805,1.05934,0.64616,0.5878,0.57826,0.30564,1.48573,0.90707,1.00202,0.00999322,0.00999322,0.00999322
7,175.123,1.62972,0.98713,1.03041,0.67106,0.59383,0.60314,0.3165,1.42237,0.86571,0.98728,0.00999023,0.00999023,0.00999023
8,198.362,1.5653,0.93801,1.01073,0.68249,0.61416,0.6241,0.34332,1.358,0.83665,0.96796,0.00998671,0.00998671,0.00998671
9,220.914,1.51293,0.89811,0.99289,0.71545,0.61917,0.65363,0.36786,1.35858,0.79134,0.95674,0.00998264,0.00998264,0.00998264
10,243.563,1.47818,0.865,0.98348,0.74302,0.6412,0.68757,0.39966,1.25902,0.7474,0.94327,0.00997803,0.00997803,0.00997803
11,265.921,1.42846,0.83437,0.97117,0.76553,0.65875,0.70882,0.42205,1.20124,0.71591,0.93202,0.00997288,0.00997288,0.00997288
12,288.571,1.40363,0.81433,0.96482,0.74141,0.6725,0.7019,0.41098,1.22539,0.71925,0.93216,0.0099672,0.0099672,0.0099672
13,311.571,1.36764,0.79212,0.957,0.76754,0.68667,0.72958,0.44135,1.18392,0.68985,0.91769,0.00996097,0.00996097,0.00996097
14,334.424,1.352,0.77474,0.94973,0.76883,0.69215,0.73931,0.44491,1.16983,0.68814,0.91482,0.0099542,0.0099542,0.0099542
15,357.173,1.33001,0.76281,0.94393,0.77764,0.68796,0.73928,0.44527,1.18191,0.67349,0.91207,0.0099469,0.0099469,0.0099469
16,379.762,1.3094,0.74728,0.94026,0.75211,0.70113,0.74288,0.45394,1.12502,0.66109,0.90564,0.00993906,0.00993906,0.00993906
17,402.385,1.29612,0.7379,0.9343,0.7851,0.70568,0.75763,0.46449,1.14439,0.65843,0.90875,0.00993068,0.00993068,0.00993068
18,425.001,1.28463,0.7284,0.93052,0.78969,0.71323,0.76438,0.47634,1.09311,0.64144,0.90033,0.00992177,0.00992177,0.00992177
19,447.982,1.26926,0.71871,0.92446,0.7904,0.7072,0.76247,0.46518,1.12047,0.65108,0.90361,0.00991232,0.00991232,0.00991232
20,471.337,1.24992,0.70783,0.92439,0.79759,0.709,0.76895,0.4832,1.07393,0.63323,0.89103,0.00990234,0.00990234,0.00990234
21,494.116,1.2403,0.70138,0.91867,0.80538,0.71983,0.77225,0.48229,1.09034,0.62976,0.89375,0.00989183,0.00989183,0.00989183
22,516.429,1.23103,0.69397,0.91654,0.79769,0.72765,0.77568,0.49229,1.05506,0.61306,0.8894,0.00988079,0.00988079,0.00988079
23,538.756,1.21942,0.68794,0.91507,0.81346,0.72194,0.77829,0.49766,1.05708,0.61077,0.88753,0.00986922,0.00986922,0.00986922
24,561.18,1.21264,0.6802,0.91201,0.81113,0.72647,0.78323,0.49951,1.04208,0.60481,0.88315,0.00985711,0.00985711,0.00985711
25,584.144,1.19944,0.67565,0.91282,0.8027,0.72951,0.78635,0.50266,1.04321,0.60429,0.88569,0.00984449,0.00984449,0.00984449
