epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0299,4.13029,3.90756,3.5034,0.00216,0.00896,0.0004,7e-05,3.89974,3.85353,3.41314,0.00330303,0.00330303,0.0702727
2,54.9014,2.92481,2.29454,1.77623,0.30326,0.14022,0.10221,0.03635,2.42236,1.86653,1.47133,0.00663618,0.00663618,0.0402725
3,78.6429,2.35696,1.59792,1.30686,0.31298,0.3394,0.27957,0.10942,1.92225,1.51096,1.19636,0.00996861,0.00996861,0.0102716
4,102.167,1.94914,1.24408,1.14562,0.5388,0.50995,0.47507,0.23143,1.56071,1.04381,1.06119,0.00999756,0.00999756,0.00999756
5,125.901,1.71422,1.05534,1.06497,0.66072,0.57567,0.58449,0.29337,1.50422,0.89135,1.01188,0.00999566,0.00999566,0.00999566
6,149.321,1.58407,0.95266,1.02083,0.71236,0.61424,0.64621,0.34924,1.3474,0.81208,0.96529,0.00999322,0.00999322,0.00999322
7,172.309,1.49611,0.8881,0.99374,0.75787,0.63586,0.68497,0.39733,1.26283,0.7681,0.94532,0.00999023,0.00999023,0.00999023
8,194.796,1.43819,0.83911,0.97444,0.7464,0.65476,0.70229,0.40525,1.23269,0.72473,0.93375,0.00998671,0.00998671,0.00998671
9,217.156,1.38567,0.80615,0.96296,0.74737,0.65893,0.71217,0.4177,1.2513,0.7441,0.92744,0.00998264,0.00998264,0.00998264
10,239.916,1.35228,0.77716,0.9502,0.71401,0.70024,0.72171,0.42672,1.19331,0.70146,0.91789,0.00997803,0.00997803,0.00997803
11,263.354,1.31265,0.75335,0.94212,0.77219,0.69266,0.73999,0.44642,1.14027,0.67163,0.91212,0.00997288,0.00997288,0.00997288
12,286.491,1.29215,0.73838,0.93531,0.78744,0.7006,0.75448,0.46169,1.11877,0.65294,0.90464,0.0099672,0.0099672,0.0099672
13,309.494,1.2672,0.72302,0.93082,0.78937,0.70279,0.75601,0.46482,1.12717,0.65747,0.90352,0.00996097,0.00996097,0.00996097
14,332.328,1.24808,0.70685,0.92373,0.76517,0.70385,0.74932,0.45478,1.13226,0.6709,0.90424,0.0099542,0.0099542,0.0099542
15,354.837,1.23251,0.69615,0.9183,0.79828,0.72138,0.77314,0.48351,1.0838,0.62334,0.89183,0.0099469,0.0099469,0.0099469
16,377.934,1.20906,0.68288,0.91494,0.80671,0.72832,0.78405,0.49332,1.07036,0.61528,0.88918,0.00993906,0.00993906,0.00993906
17,401.269,1.20151,0.67694,0.91238,0.80603,0.72858,0.7832,0.49619,1.05837,0.60656,0.88738,0.00993068,0.00993068,0.00993068
18,424.732,1.18667,0.67009,0.90742,0.80414,0.73794,0.78903,0.50038,1.04941,0.60607,0.88186,0.00992177,0.00992177,0.00992177
19,447.549,1.17721,0.6589,0.90608,0.81386,0.72784,0.78639,0.50289,1.04395,0.60923,0.88383,0.00991232,0.00991232,0.00991232
20,470.227,1.16122,0.65306,0.90165,0.81247,0.73306,0.78741,0.50334,1.05284,0.59914,0.8804,0.00990234,0.00990234,0.00990234
21,492.939,1.15237,0.64773,0.89989,0.82178,0.74065,0.79737,0.50998,1.02532,0.5922,0.87639,0.00989183,0.00989183,0.00989183
22,515.965,1.15536,0.64366,0.89941,0.81422,0.75599,0.80503,0.5183,1.02113,0.57498,0.87627,0.00988079,0.00988079,0.00988079
23,539.556,1.14856,0.63926,0.89703,0.82901,0.74188,0.80119,0.51539,1.03016,0.58246,0.87571,0.00986922,0.00986922,0.00986922
24,563.234,1.1345,0.63493,0.89498,0.81811,0.76092,0.8094,0.52851,1.00365,0.56853,0.87221,0.00985711,0.00985711,0.00985711
25,585.862,1.12653,0.62949,0.89406,0.82516,0.74874,0.80421,0.52002,1.00822,0.57697,0.87139,0.00984449,0.00984449,0.00984449
26,608.375,1.12323,0.62326,0.89179,0.82707,0.74708,0.80872,0.52255,1.02338,0.57271,0.87108,0.00983133,0.00983133,0.00983133
27,630.912,1.10915,0.61671,0.88799,0.83168,0.75674,0.81579,0.53347,0.99442,0.56645,0.86639,0.00981765,0.00981765,0.00981765
28,653.947,1.11027,0.61727,0.88946,0.82792,0.75736,0.8111,0.52948,0.9934,0.56261,0.86797,0.00980345,0.00980345,0.00980345
29,677.64,1.1091,0.61666,0.89004,0.82894,0.7705,0.81754,0.53424,0.97643,0.55223,0.86606,0.00978873,0.00978873,0.00978873
30,700.546,1.10283,0.61076,0.88753,0.83487,0.76114,0.81829,0.53669,0.98395,0.55601,0.86387,0.00977349,0.00977349,0.00977349
31,723.762,1.093,0.60648,0.88571,0.84236,0.76196,0.82073,0.53878,0.98599,0.55316,0.86311,0.00975773,0.00975773,0.00975773
32,746.636,1.08868,0.60491,0.88461,0.83157,0.76931,0.82165,0.54391,0.97147,0.54573,0.86295,0.00974145,0.00974145,0.00974145
33,769.278,1.08078,0.6005,0.88502,0.8371,0.76551,0.81949,0.54016,0.9828,0.55647,0.86295,0.00972466,0.00972466,0.00972466
34,792.783,1.07808,0.59871,0.884,0.83918,0.76572,0.82151,0.54352,0.97818,0.54749,0.86256,0.00970736,0.00970736,0.00970736
35,816.198,1.08088,0.59728,0.88064,0.8284,0.77382,0.82279,0.54604,0.9658,0.54209,0.8634,0.00968955,0.00968955,0.00968955
36,839.718,1.07721,0.59564,0.88035,0.83667,0.76904,0.82251,0.54522,0.96462,0.54116,0.85968,0.00967122,0.00967122,0.00967122
37,862.882,1.07402,0.59267,0.87892,0.83904,0.77269,0.82721,0.55075,0.95321,0.535,0.85901,0.00965239,0.00965239,0.00965239
38,885.41,1.06377,0.58757,0.87807,0.84095,0.77069,0.82604,0.54964,0.95363,0.53123,0.85838,0.00963306,0.00963306,0.00963306
39,907.896,1.06913,0.58868,0.87683,0.83226,0.77842,0.83188,0.55506,0.95694,0.53452,0.8573,0.00961322,0.00961322,0.00961322
40,930.715,1.06229,0.58482,0.87622,0.84544,0.76528,0.82736,0.54926,0.95553,0.53927,0.85873,0.00959289,0.00959289,0.00959289
41,953.764,1.05525,0.5831,0.87583,0.85162,0.77131,0.83395,0.55576,0.9539,0.53004,0.85731,0.00957205,0.00957205,0.00957205
42,977.002,1.05532,0.58299,0.87338,0.84011,0.77757,0.82989,0.55592,0.94866,0.53309,0.8568,0.00955072,0.00955072,0.00955072
43,999.623,1.05341,0.58015,0.87465,0.847,0.77618,0.83042,0.55492,0.94397,0.52411,0.85636,0.00952889,0.00952889,0.00952889
