epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.114,1.72658,2.60564,1.05255,0.08069,0.36436,0.18248,0.10204,1.55177,inf,0.96387,0.00329167,0.00329167,0.070375
2,61.889,1.62293,1.29485,0.98176,0.51361,0.53216,0.49758,0.25699,1.57698,1.08187,0.94608,0.00660314,0.00660314,0.0403531
3,89.3422,1.57307,1.08128,0.95631,0.62927,0.62548,0.61627,0.3539,1.42847,1.10267,0.91037,0.00989261,0.00989261,0.0103093
4,108.06,1.48653,0.96072,0.92715,0.72805,0.65607,0.68491,0.39611,1.33553,0.91507,0.89592,0.009901,0.009901,0.009901
5,126.327,1.38592,0.8729,0.90657,0.68893,0.66554,0.68826,0.38692,1.32722,0.86532,0.89426,0.009868,0.009868,0.009868
6,144.356,1.33996,0.82212,0.89311,0.79558,0.58955,0.74081,0.44674,1.20509,0.78683,0.87145,0.009835,0.009835,0.009835
7,162.728,1.30602,0.7864,0.88587,0.77981,0.68749,0.74509,0.45549,1.22772,0.77057,0.87256,0.009802,0.009802,0.009802
8,181.263,1.27777,0.75928,0.88237,0.77433,0.71341,0.76065,0.4842,1.1724,0.73676,0.85967,0.009769,0.009769,0.009769
9,199.388,1.25224,0.73595,0.87915,0.79282,0.71475,0.77674,0.49273,1.14409,0.6862,0.85968,0.009736,0.009736,0.009736
10,217.321,1.23154,0.71561,0.87179,0.78611,0.71771,0.75741,0.48338,1.13165,0.68678,0.86494,0.009703,0.009703,0.009703
11,235.23,1.21527,0.70027,0.87095,0.8048,0.72066,0.77309,0.49488,1.13351,0.69382,0.86215,0.00967,0.00967,0.00967
12,253.109,1.20176,0.69048,0.86818,0.80781,0.73224,0.78635,0.51628,1.09041,0.63893,0.85042,0.009637,0.009637,0.009637
13,270.845,1.1894,0.68086,0.86746,0.80957,0.73946,0.79711,0.52444,1.0664,0.62196,0.84957,0.009604,0.009604,0.009604
14,288.666,1.17846,0.66903,0.86433,0.8095,0.72595,0.77333,0.49767,1.10251,0.64439,0.85442,0.009571,0.009571,0.009571
15,306.77,1.17156,0.66235,0.86302,0.77153,0.7558,0.7964,0.52221,1.07676,0.6247,0.85276,0.009538,0.009538,0.009538
16,324.816,1.16219,0.6566,0.86175,0.80559,0.75447,0.80022,0.52197,1.09662,0.6054,0.85364,0.009505,0.009505,0.009505
17,342.897,1.15502,0.6484,0.8595,0.82662,0.75557,0.81497,0.54391,1.04803,0.5978,0.84516,0.009472,0.009472,0.009472
18,360.637,1.14852,0.64374,0.85795,0.80719,0.75817,0.80888,0.54219,1.04184,0.59738,0.84276,0.009439,0.009439,0.009439
19,378.437,1.14506,0.63944,0.85586,0.83218,0.75504,0.81614,0.54618,1.04134,0.58927,0.84291,0.009406,0.009406,0.009406
20,396.243,1.13474,0.63273,0.85644,0.82499,0.75994,0.80795,0.52353,1.08599,0.59851,0.84578,0.009373,0.009373,0.009373
21,413.91,1.13109,0.62756,0.8549,0.8274,0.76079,0.81277,0.54572,1.03,0.57832,0.84117,0.00934,0.00934,0.00934
22,431.778,1.12901,0.62588,0.85474,0.81888,0.75589,0.80821,0.54555,1.04496,0.59041,0.84039,0.009307,0.009307,0.009307
23,449.612,1.12911,0.62384,0.85259,0.82852,0.75805,0.81631,0.54735,1.03168,0.58232,0.84565,0.009274,0.009274,0.009274
24,467.493,1.11566,0.6195,0.85215,0.82412,0.75875,0.81356,0.55021,1.01481,0.5801,0.8396,0.009241,0.009241,0.009241
25,485.4,1.10926,0.61389,0.85178,0.83901,0.76417,0.82363,0.55433,1.02342,0.5724,0.8414,0.009208,0.009208,0.009208
26,503.383,1.10955,0.61302,0.85205,0.821,0.76727,0.81795,0.55323,1.01235,0.57317,0.83928,0.009175,0.009175,0.009175
27,521.235,1.10089,0.6077,0.8498,0.83108,0.76171,0.8197,0.55498,1.01039,0.57435,0.8405,0.009142,0.009142,0.009142
28,538.931,1.09937,0.60856,0.8493,0.82969,0.75732,0.81444,0.55238,1.01641,0.57414,0.8412,0.009109,0.009109,0.009109
29,556.676,1.10336,0.60583,0.85011,0.83569,0.76412,0.8156,0.54926,1.01505,0.56884,0.83746,0.009076,0.009076,0.009076
30,574.106,1.09079,0.60102,0.84841,0.84415,0.76942,0.82926,0.56005,1.01329,0.56612,0.83964,0.009043,0.009043,0.009043
31,591.782,1.09147,0.59897,0.84904,0.851,0.76962,0.8307,0.56106,1.00552,0.55857,0.83659,0.00901,0.00901,0.00901
32,609.75,1.09062,0.59794,0.84813,0.8286,0.77087,0.82754,0.56103,1.00729,0.57176,0.83996,0.008977,0.008977,0.008977
33,627.917,1.08573,0.59902,0.84817,0.84623,0.77042,0.83386,0.56592,0.99933,0.5594,0.83917,0.008944,0.008944,0.008944
34,645.841,1.07736,0.59213,0.84705,0.83204,0.77653,0.83233,0.56317,0.99533,0.55607,0.83621,0.008911,0.008911,0.008911
35,663.641,1.07609,0.58869,0.84563,0.83982,0.77059,0.82798,0.56693,0.98769,0.55947,0.83282,0.008878,0.008878,0.008878
36,681.507,1.07889,0.59113,0.84676,0.83691,0.76792,0.8275,0.56191,1.01125,0.57275,0.83484,0.008845,0.008845,0.008845
37,699.224,1.07406,0.58685,0.84434,0.83857,0.77901,0.83323,0.57137,0.98585,0.54847,0.83529,0.008812,0.008812,0.008812
38,717.196,1.06811,0.58252,0.84395,0.83515,0.78445,0.83823,0.5738,0.98119,0.54872,0.83305,0.008779,0.008779,0.008779
39,735.049,1.07258,0.58541,0.8438,0.83419,0.77549,0.83163,0.5646,0.98907,0.56043,0.83374,0.008746,0.008746,0.008746
40,752.729,1.06714,0.5825,0.8451,0.84333,0.77524,0.83257,0.56885,0.98726,0.55128,0.83367,0.008713,0.008713,0.008713
41,770.771,1.06327,0.57966,0.84351,0.84076,0.76528,0.83071,0.57008,0.97999,0.55975,0.83427,0.00868,0.00868,0.00868
42,788.578,1.06309,0.57852,0.84235,0.84919,0.77983,0.83799,0.57608,0.98383,0.54405,0.83526,0.008647,0.008647,0.008647
43,806.492,1.06164,0.57949,0.84419,0.84276,0.78124,0.84055,0.57711,0.98274,0.54467,0.83224,0.008614,0.008614,0.008614
44,824.33,1.05887,0.57607,0.84296,0.8472,0.77892,0.83937,0.57358,0.98128,0.55102,0.83195,0.008581,0.008581,0.008581
45,841.926,1.05916,0.5755,0.84242,0.84113,0.7796,0.8354,0.56999,0.9793,0.54541,0.8345,0.008548,0.008548,0.008548
46,859.613,1.05248,0.5724,0.84222,0.84331,0.78611,0.84207,0.57949,0.97269,0.53478,0.83097,0.008515,0.008515,0.008515
47,877.53,1.04771,0.57057,0.84175,0.83834,0.78109,0.83949,0.57702,0.9773,0.54688,0.83287,0.008482,0.008482,0.008482
48,895.259,1.04807,0.57014,0.84077,0.85246,0.77328,0.84083,0.57716,0.97796,0.5396,0.8318,0.008449,0.008449,0.008449
49,912.968,1.05019,0.5702,0.84141,0.84143,0.78334,0.84304,0.58291,0.96461,0.53785,0.83118,0.008416,0.008416,0.008416
50,931.058,1.04952,0.5676,0.84057,0.84844,0.77958,0.83782,0.57811,0.96779,0.53876,0.83141,0.008383,0.008383,0.008383
51,948.921,1.04687,0.56741,0.83999,0.84412,0.7861,0.84069,0.58257,0.96759,0.53073,0.8313,0.00835,0.00835,0.00835
52,966.639,1.04306,0.56633,0.83991,0.84465,0.78814,0.84217,0.58277,0.96214,0.53367,0.82955,0.008317,0.008317,0.008317
53,984.186,1.03946,0.56493,0.83996,0.84299,0.79148,0.8473,0.58468,0.95973,0.53105,0.82984,0.008284,0.008284,0.008284
54,1001.81,1.04186,0.56298,0.84005,0.8474,0.779,0.84058,0.57975,0.97073,0.53781,0.82933,0.008251,0.008251,0.008251
