epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.471,4.15122,3.966,3.61417,0,0,0,0,4.41341,4.08269,3.5406,0.00328502,0.00328502,0.0704348
2,45.0467,2.85022,2.24597,1.89104,0.12642,0.06638,0.05768,0.02067,3.04088,2.57638,1.90452,0.00659652,0.00659652,0.0404129
3,62.7198,2.48788,1.71527,1.42591,0.17066,0.06217,0.03684,0.01157,2.65854,2.85467,1.7291,0.00988601,0.00988601,0.0103691
4,80.1955,2.15034,1.3969,1.23968,0.42552,0.37242,0.34128,0.13974,2.0557,1.25816,1.17815,0.009901,0.009901,0.009901
5,97.7312,1.90356,1.17704,1.13801,0.48658,0.48622,0.45614,0.2144,1.72976,1.0116,1.0705,0.009868,0.009868,0.009868
6,115.014,1.76663,1.05399,1.08183,0.66694,0.54411,0.5529,0.26842,1.63745,0.9191,1.03841,0.009835,0.009835,0.009835
7,131.884,1.66928,0.97782,1.04501,0.66238,0.53302,0.5527,0.25412,1.62166,0.89293,1.02235,0.009802,0.009802,0.009802
8,148.945,1.60597,0.92644,1.01995,0.65983,0.59267,0.6071,0.31013,1.46017,0.85012,0.98366,0.009769,0.009769,0.009769
9,165.839,1.5537,0.8865,1.00366,0.74699,0.63125,0.67268,0.37625,1.34883,0.77362,0.96064,0.009736,0.009736,0.009736
10,182.73,1.51319,0.85559,0.99155,0.74471,0.64073,0.68289,0.38755,1.36259,0.75624,0.96593,0.009703,0.009703,0.009703
11,199.825,1.47182,0.82506,0.97983,0.75999,0.64285,0.69636,0.39981,1.33626,0.74507,0.94363,0.00967,0.00967,0.00967
12,216.774,1.44892,0.80567,0.97013,0.77436,0.66299,0.71318,0.41317,1.2882,0.71676,0.93296,0.009637,0.009637,0.009637
13,233.826,1.42814,0.79035,0.96328,0.77752,0.66237,0.71943,0.42801,1.25363,0.69921,0.9269,0.009604,0.009604,0.009604
14,251.045,1.39528,0.76948,0.95563,0.77931,0.67171,0.72743,0.43717,1.24877,0.68739,0.92358,0.009571,0.009571,0.009571
15,268.221,1.38051,0.75853,0.9499,0.79524,0.6783,0.7372,0.44938,1.20402,0.68096,0.91751,0.009538,0.009538,0.009538
16,285.14,1.36204,0.74707,0.94465,0.78544,0.69963,0.74225,0.45341,1.19236,0.6581,0.91322,0.009505,0.009505,0.009505
17,302.031,1.34968,0.73551,0.93995,0.78933,0.68736,0.74162,0.44971,1.20188,0.67402,0.91147,0.009472,0.009472,0.009472
18,319.388,1.33452,0.72909,0.93515,0.79321,0.69986,0.7498,0.46263,1.17052,0.65622,0.90629,0.009439,0.009439,0.009439
19,337.197,1.32073,0.71573,0.93116,0.79327,0.70657,0.75401,0.464,1.16601,0.64813,0.90697,0.009406,0.009406,0.009406
20,354.103,1.31085,0.70913,0.92704,0.79956,0.70881,0.76122,0.474,1.14776,0.62885,0.89985,0.009373,0.009373,0.009373
21,373.071,1.30243,0.70173,0.92369,0.7984,0.71991,0.7684,0.47794,1.14158,0.61911,0.89691,0.00934,0.00934,0.00934
22,390.089,1.29532,0.69391,0.92186,0.79275,0.72094,0.76835,0.47851,1.1535,0.62083,0.89853,0.009307,0.009307,0.009307
23,407.408,1.28385,0.68766,0.92033,0.81151,0.72048,0.77461,0.48744,1.12862,0.60702,0.88952,0.009274,0.009274,0.009274
24,425.439,1.27107,0.68269,0.91752,0.7958,0.731,0.77198,0.4791,1.13881,0.61882,0.89455,0.009241,0.009241,0.009241
25,442.356,1.26232,0.67633,0.91628,0.794,0.72241,0.77244,0.48255,1.14284,0.61721,0.89741,0.009208,0.009208,0.009208
26,459.915,1.26318,0.67124,0.91238,0.81073,0.72755,0.78479,0.49782,1.10966,0.59794,0.88657,0.009175,0.009175,0.009175
27,476.585,1.25069,0.66627,0.91155,0.81381,0.72931,0.7851,0.49973,1.10122,0.59175,0.88436,0.009142,0.009142,0.009142
28,494.296,1.24461,0.66391,0.9099,0.81557,0.73625,0.79439,0.50764,1.08988,0.58369,0.88129,0.009109,0.009109,0.009109
29,511.048,1.23791,0.65849,0.90727,0.82134,0.73434,0.79121,0.5037,1.10566,0.58711,0.88343,0.009076,0.009076,0.009076
30,530.963,1.22934,0.65165,0.90641,0.81698,0.73945,0.79209,0.50507,1.08193,0.5794,0.87944,0.009043,0.009043,0.009043
31,550.295,1.22684,0.65167,0.90677,0.81153,0.73826,0.78992,0.50026,1.09767,0.58779,0.88283,0.00901,0.00901,0.00901
32,567.405,1.21831,0.64717,0.90256,0.81297,0.74011,0.79079,0.50507,1.0906,0.58444,0.88154,0.008977,0.008977,0.008977
33,587.858,1.21167,0.64244,0.905,0.82265,0.74429,0.79719,0.51564,1.06624,0.5714,0.87744,0.008944,0.008944,0.008944
34,604.776,1.2055,0.63767,0.90113,0.81556,0.7484,0.79986,0.51587,1.06907,0.57354,0.87577,0.008911,0.008911,0.008911
35,622.105,1.20497,0.63656,0.89816,0.8257,0.74114,0.79512,0.51093,1.07327,0.57447,0.87654,0.008878,0.008878,0.008878
36,640.368,1.20064,0.63626,0.8979,0.82368,0.74742,0.80201,0.51759,1.06666,0.5625,0.87486,0.008845,0.008845,0.008845
37,657.166,1.20067,0.63226,0.8974,0.82499,0.74648,0.80267,0.52373,1.0602,0.56285,0.87287,0.008812,0.008812,0.008812
38,675.372,1.19157,0.62789,0.89521,0.83112,0.74571,0.80419,0.52402,1.06502,0.56112,0.87427,0.008779,0.008779,0.008779
39,692.046,1.19183,0.62709,0.89411,0.82178,0.75085,0.80517,0.52335,1.05897,0.56258,0.87089,0.008746,0.008746,0.008746
40,711.474,1.18792,0.6249,0.89364,0.82701,0.74684,0.80788,0.52763,1.05309,0.55775,0.87129,0.008713,0.008713,0.008713
41,728.456,1.18489,0.6211,0.89364,0.83276,0.75183,0.80981,0.5282,1.05524,0.5546,0.87109,0.00868,0.00868,0.00868
42,747.51,1.18156,0.61636,0.88777,0.82995,0.75281,0.80804,0.52849,1.04741,0.55235,0.87057,0.008647,0.008647,0.008647
43,765.194,1.17604,0.61673,0.89129,0.82661,0.76067,0.81204,0.53229,1.04215,0.54862,0.868,0.008614,0.008614,0.008614
44,781.884,1.17016,0.61227,0.88893,0.83233,0.75242,0.81006,0.52958,1.04324,0.55803,0.86813,0.008581,0.008581,0.008581
45,799.458,1.17171,0.61439,0.88981,0.83438,0.75894,0.81603,0.53892,1.03747,0.54532,0.86572,0.008548,0.008548,0.008548
46,816.218,1.16244,0.60897,0.88831,0.82853,0.75407,0.80936,0.53116,1.03281,0.55175,0.86471,0.008515,0.008515,0.008515
47,835.049,1.1552,0.60504,0.88749,0.83563,0.75322,0.81349,0.5342,1.03092,0.54343,0.86492,0.008482,0.008482,0.008482
