epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3532,1.71601,2.66254,1.02911,0.08468,0.48312,0.25914,0.13796,1.64032,inf,0.94527,0.00328571,0.00328571,0.0704286
2,56.9223,1.59618,1.25767,0.94523,0.58835,0.47949,0.4871,0.26128,1.53887,1.18796,0.92004,0.0065972,0.0065972,0.0404067
3,75.0833,1.55602,1.07551,0.92374,0.65275,0.59388,0.60013,0.34194,1.43335,0.92101,0.89171,0.0098867,0.0098867,0.0103629
4,92.2204,1.48082,0.95407,0.90434,0.6125,0.60361,0.61652,0.35611,1.34893,0.92769,0.88775,0.009901,0.009901,0.009901
5,109.181,1.38851,0.86415,0.88771,0.76872,0.67131,0.71776,0.43431,1.21635,0.77617,0.86179,0.009868,0.009868,0.009868
6,126.368,1.33439,0.81149,0.87669,0.80184,0.67077,0.74237,0.4542,1.20854,0.74162,0.86174,0.009835,0.009835,0.009835
7,143.425,1.29126,0.77754,0.87012,0.79811,0.7171,0.77219,0.46994,1.2028,0.70538,0.85919,0.009802,0.009802,0.009802
8,160.409,1.2736,0.75352,0.86628,0.77967,0.71288,0.76532,0.48611,1.14503,0.70005,0.85564,0.009769,0.009769,0.009769
9,177.041,1.25124,0.73207,0.86367,0.79601,0.72427,0.77449,0.48269,1.16313,0.66544,0.86089,0.009736,0.009736,0.009736
10,193.821,1.23176,0.71339,0.85931,0.78817,0.73904,0.78633,0.50074,1.11733,0.65427,0.85262,0.009703,0.009703,0.009703
11,210.305,1.21286,0.69747,0.8561,0.80728,0.72682,0.78612,0.51062,1.08527,0.63913,0.84445,0.00967,0.00967,0.00967
12,226.804,1.19591,0.6842,0.85405,0.8192,0.7316,0.79574,0.51983,1.06665,0.62909,0.84253,0.009637,0.009637,0.009637
13,243.269,1.18797,0.67737,0.85247,0.81335,0.74265,0.79426,0.5209,1.06125,0.61653,0.84129,0.009604,0.009604,0.009604
14,259.972,1.17809,0.66394,0.85169,0.8209,0.7516,0.80693,0.52421,1.05821,0.61162,0.83959,0.009571,0.009571,0.009571
15,277.185,1.16802,0.65754,0.84834,0.81926,0.75653,0.8098,0.53383,1.03571,0.59768,0.83573,0.009538,0.009538,0.009538
16,294.07,1.15938,0.6476,0.84619,0.81716,0.75515,0.81009,0.5349,1.03964,0.60282,0.83706,0.009505,0.009505,0.009505
17,311.021,1.15489,0.64495,0.84525,0.82055,0.76218,0.81601,0.53707,1.05752,0.59363,0.83974,0.009472,0.009472,0.009472
18,327.602,1.14788,0.64001,0.84454,0.8266,0.76149,0.81721,0.5422,1.03105,0.58957,0.83614,0.009439,0.009439,0.009439
19,344.122,1.14182,0.63188,0.84244,0.83159,0.76778,0.82452,0.54403,1.03264,0.5838,0.83611,0.009406,0.009406,0.009406
20,360.569,1.13069,0.62637,0.84301,0.82951,0.76614,0.81973,0.54487,1.02586,0.5793,0.8354,0.009373,0.009373,0.009373
21,377.085,1.13056,0.6241,0.84101,0.82908,0.76621,0.8201,0.54843,1.0268,0.5828,0.83333,0.00934,0.00934,0.00934
22,393.582,1.12167,0.61817,0.84012,0.83024,0.75891,0.81641,0.549,1.00682,0.57638,0.83254,0.009307,0.009307,0.009307
23,410.029,1.11902,0.61547,0.83959,0.83574,0.76617,0.82142,0.55278,1.00839,0.56998,0.83207,0.009274,0.009274,0.009274
24,426.924,1.11281,0.61212,0.83903,0.83855,0.76992,0.8262,0.55808,0.99979,0.56718,0.83184,0.009241,0.009241,0.009241
25,444.11,1.10085,0.60492,0.83894,0.84306,0.77295,0.83079,0.56355,0.98732,0.55962,0.82901,0.009208,0.009208,0.009208
26,461.078,1.10528,0.60469,0.8371,0.83475,0.77515,0.83089,0.55772,1.01245,0.56461,0.83159,0.009175,0.009175,0.009175
27,477.737,1.09335,0.59722,0.83599,0.82585,0.77463,0.82947,0.56064,1.0032,0.55855,0.82985,0.009142,0.009142,0.009142
28,494.187,1.0966,0.6006,0.83568,0.84263,0.77875,0.83786,0.56683,0.99593,0.55293,0.82795,0.009109,0.009109,0.009109
29,510.756,1.09151,0.59603,0.83585,0.8241,0.76768,0.82369,0.55801,0.98822,0.56279,0.82821,0.009076,0.009076,0.009076
30,527.193,1.08367,0.59332,0.83511,0.82931,0.78187,0.83485,0.56666,0.98522,0.55391,0.82723,0.009043,0.009043,0.009043
31,543.576,1.08641,0.58961,0.83397,0.84088,0.77565,0.83271,0.56091,0.99517,0.55553,0.82856,0.00901,0.00901,0.00901
