epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8557,4.05185,3.68248,3.26813,0.03052,0.02674,0.01325,0.00379,3.53201,2.67814,2.46194,0.00331183,0.00331183,0.0701935
2,45.6457,2.74748,2.15039,1.6259,0.28415,0.18673,0.12337,0.05106,2.3792,1.69979,1.34693,0.00664498,0.00664498,0.0401934
3,64.653,2.33254,1.64601,1.31875,0.41872,0.29707,0.2546,0.10801,2.14296,1.40226,1.21833,0.00997741,0.00997741,0.0101925
4,83.4861,2.02981,1.345,1.17781,0.48313,0.44639,0.42115,0.20187,1.80352,1.10071,1.09073,0.00999756,0.00999756,0.00999756
5,101.969,1.81013,1.14635,1.1007,0.54732,0.50035,0.47773,0.22923,1.69855,0.98545,1.05218,0.00999566,0.00999566,0.00999566
6,120.69,1.69532,1.03597,1.05351,0.58209,0.58387,0.57512,0.31221,1.49396,0.88005,0.99155,0.00999322,0.00999322,0.00999322
7,139.291,1.6104,0.96173,1.02194,0.68003,0.60136,0.62929,0.3467,1.42148,0.83087,0.97063,0.00999023,0.00999023,0.00999023
8,157.527,1.54927,0.9136,1.00097,0.72798,0.62684,0.66195,0.37403,1.34295,0.78013,0.95586,0.00998671,0.00998671,0.00998671
9,175.524,1.50713,0.87675,0.99093,0.73984,0.6379,0.67739,0.38683,1.36063,0.76586,0.95353,0.00998264,0.00998264,0.00998264
10,194.612,1.47189,0.84631,0.97396,0.73645,0.65058,0.68576,0.40289,1.29141,0.74128,0.94235,0.00997803,0.00997803,0.00997803
11,213.613,1.4287,0.81636,0.96611,0.76258,0.65545,0.7022,0.41235,1.27435,0.7204,0.92856,0.00997288,0.00997288,0.00997288
12,232.425,1.40489,0.79448,0.95491,0.77421,0.66684,0.71931,0.43705,1.22357,0.69811,0.91792,0.0099672,0.0099672,0.0099672
13,250.835,1.37956,0.77879,0.95104,0.75686,0.6847,0.72556,0.44193,1.20719,0.68657,0.90877,0.00996097,0.00996097,0.00996097
14,268.922,1.36034,0.76159,0.94485,0.77233,0.6933,0.73411,0.44519,1.20144,0.67268,0.90677,0.0099542,0.0099542,0.0099542
15,287.63,1.34355,0.74695,0.93554,0.77566,0.69444,0.7376,0.45447,1.18569,0.67342,0.90722,0.0099469,0.0099469,0.0099469
16,305.985,1.32521,0.73551,0.93271,0.77949,0.70869,0.75262,0.46369,1.17177,0.65238,0.89989,0.00993906,0.00993906,0.00993906
17,324.161,1.31294,0.72558,0.9274,0.78829,0.70986,0.75769,0.4726,1.15521,0.64323,0.89661,0.00993068,0.00993068,0.00993068
18,343.051,1.29755,0.71492,0.92366,0.78415,0.72394,0.76651,0.47719,1.15732,0.63575,0.89613,0.00992177,0.00992177,0.00992177
19,361.94,1.28555,0.7073,0.91882,0.78999,0.72101,0.76483,0.47297,1.14959,0.63717,0.89281,0.00991232,0.00991232,0.00991232
20,380.547,1.27722,0.69587,0.91553,0.80108,0.72394,0.77254,0.49198,1.12547,0.62042,0.88703,0.00990234,0.00990234,0.00990234
21,399.039,1.25908,0.69049,0.91383,0.79431,0.72609,0.77489,0.49357,1.11466,0.61189,0.88459,0.00989183,0.00989183,0.00989183
22,417.176,1.26271,0.68821,0.91306,0.79152,0.7327,0.7801,0.50069,1.10856,0.60881,0.88213,0.00988079,0.00988079,0.00988079
23,435.115,1.24777,0.67934,0.90915,0.80692,0.7257,0.77895,0.49332,1.11105,0.60579,0.88215,0.00986922,0.00986922,0.00986922
24,453.111,1.2403,0.67285,0.906,0.78816,0.73626,0.78168,0.50346,1.10321,0.59952,0.87803,0.00985711,0.00985711,0.00985711
25,472.054,1.22632,0.66671,0.90476,0.81401,0.73286,0.78689,0.50453,1.09399,0.59708,0.87497,0.00984449,0.00984449,0.00984449
26,491.119,1.22284,0.66438,0.90255,0.79656,0.74238,0.7903,0.50816,1.09155,0.58932,0.87592,0.00983133,0.00983133,0.00983133
27,509.751,1.21613,0.65838,0.90119,0.80663,0.72961,0.78335,0.50425,1.08524,0.59602,0.87555,0.00981765,0.00981765,0.00981765
