epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3152,4.25371,3.9842,3.56689,0,0,0,0,4.41898,3.94992,3.57695,0.0032906,0.0032906,0.0703846
2,46.0544,2.96314,2.44102,1.91333,0.29998,0.03911,0.02734,0.00754,3.52025,2.28423,2.0893,0.00662375,0.00662375,0.0403844
3,67.5307,2.43752,1.75233,1.37581,0.16024,0.23374,0.13442,0.05082,2.72841,2.06756,1.4285,0.00995618,0.00995618,0.0103835
4,85.7172,2.05804,1.37239,1.19276,0.39976,0.35711,0.32334,0.14644,1.82932,1.18249,1.1019,0.00999756,0.00999756,0.00999756
5,103.436,1.82224,1.16042,1.10156,0.4901,0.47115,0.44816,0.2225,1.63168,0.98358,1.04692,0.00999566,0.00999566,0.00999566
6,121.161,1.69449,1.044,1.05037,0.54537,0.49765,0.50029,0.2684,1.49631,0.90306,0.99081,0.00999322,0.00999322,0.00999322
7,138.867,1.6084,0.96697,1.02225,0.60566,0.52343,0.5378,0.28858,1.49335,0.88522,0.98942,0.00999023,0.00999023,0.00999023
8,156.521,1.55316,0.91905,1.00223,0.59234,0.57033,0.57916,0.32505,1.38895,0.83265,0.95626,0.00998671,0.00998671,0.00998671
9,174.502,1.49518,0.87408,0.98886,0.64859,0.55383,0.5905,0.32814,1.34302,0.77886,0.94998,0.00998264,0.00998264,0.00998264
10,192.22,1.46307,0.84731,0.97479,0.66903,0.57296,0.61378,0.35786,1.30467,0.7379,0.94013,0.00997803,0.00997803,0.00997803
11,210.232,1.42393,0.81555,0.96556,0.68684,0.57541,0.61919,0.35667,1.29991,0.74656,0.9353,0.00997288,0.00997288,0.00997288
12,228.406,1.40006,0.79733,0.95735,0.68128,0.59975,0.64038,0.37905,1.25,0.69758,0.92596,0.0099672,0.0099672,0.0099672
13,246.43,1.3792,0.77874,0.94887,0.78922,0.61247,0.6478,0.38207,1.26367,0.68852,0.91875,0.00996097,0.00996097,0.00996097
